Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6132  2.7295    -9.0004 -0.4863
      1  -2.0663  1.3562    -4.1104 -0.2253
      2  -3.0965  0.8578    -4.2021 -2.1690
      3  -3.6353  0.6856    -4.4036 -3.1715
      4  -3.3259  0.5373    -3.8666 -3.0072
      5  -3.1677  0.4988    -3.6165 -2.9073
      6  -3.2028  0.3713    -3.6119 -3.1665
      7  -3.1894  0.2724    -3.5876 -3.1673
      8  -3.1833  0.2097    -3.5738 -3.1678
      9  -3.1802  0.1693    -3.5640 -3.1682
     10  -3.1032  0.3096    -3.4233 -2.9064
     11  -3.1535  0.2251    -3.4250 -3.0335
     12  -3.1138  0.2781    -3.4183 -2.9321
     13  -3.1573  0.2349    -3.4214 -3.0852
     14  -3.1668  0.1758    -3.4210 -3.1700
     15  -3.1613  0.1333    -3.4170 -3.1705
     16  -3.1653  0.0989    -3.4169 -3.1748
     17  -3.1655  0.0747    -3.4167 -3.1755
     18  -3.1763  0.1303    -3.4259 -3.1758
     19  -3.1694  0.0965    -3.4200 -3.1758

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1014  0.0589     0.0063  0.1898
      2   0.1009  0.0591     0.0056  0.1897
      3   0.1006  0.0593     0.0052  0.1897
      4   0.1019  0.0589     0.0063  0.1899
      5   0.1013  0.0590     0.0064  0.1898
      6   0.1120  0.0558     0.0141  0.1913
      7   0.1138  0.0546     0.0185  0.1915
      8   0.1149  0.0538     0.0213  0.1916
      9   0.1158  0.0532     0.0234  0.1916
     10   0.0726  0.0467     0.0088  0.1614
     11   0.0823  0.0470     0.0137  0.1682
     12   0.0680  0.0421     0.0096  0.1472
     13   0.0769  0.0440     0.0125  0.1575
     14   0.0824  0.0432     0.0170  0.1608
     15   0.0865  0.0425     0.0212  0.1632
     16   0.0909  0.0417     0.0259  0.1656
     17   0.0915  0.0414     0.0277  0.1658
     18   0.0670  0.0329     0.0173  0.1246
     19   0.0699  0.0324     0.0210  0.1269

