Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4357  2.7959    -8.9782 -0.3466
      1  -4.2629  2.8294    -8.9440 -0.2714
      2  -3.9925  2.8710    -8.8871 -0.2040
      3  -3.5917  2.8956    -8.7858 -0.1486
      4  -3.0530  2.8486    -8.5977 -0.1096
      5  -2.4563  2.6789    -8.2405 -0.0856
      6  -1.9164  2.3960    -7.5745 -0.0719
      7  -1.5093  2.0711    -6.5329 -0.0644
      8  -1.0368  1.6253    -4.9027 -0.0566
      9  -1.9366  2.0035    -6.6900 -0.1349
     10  -3.6368  2.2889    -8.2590 -0.4745
     11  -3.4449  2.1226    -7.7349 -0.4895
     12  -4.2733  2.7030    -8.8941 -0.3981
     13  -4.1670  2.6992    -8.8594 -0.3637
     14  -4.0014  2.6930    -8.8054 -0.3147
     15  -3.7562  2.6716    -8.7115 -0.2573
     16  -3.4205  2.6111    -8.5404 -0.2070
     17  -3.0227  2.4851    -8.2182 -0.1678
     18  -2.6317  2.2934    -7.6108 -0.1416
     19  -2.3144  2.0758    -6.5838 -0.1257

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0005  0.0019     0.0000  0.0001
      1   0.0008  0.0025     0.0000  0.0036
      2   0.0014  0.0032     0.0000  0.0056
      3   0.0022  0.0039     0.0000  0.0066
      4   0.0034  0.0045     0.0000  0.0079
      5   0.0047  0.0047     0.0000  0.0101
      6   0.0059  0.0045     0.0000  0.0112
      7   0.0068  0.0042     0.0000  0.0118
      8   0.0075  0.0040     0.0001  0.0124
      9   0.0059  0.0030     0.0000  0.0068
     10   0.0039  0.0035     0.0000  0.0064
     11   0.0050  0.0032     0.0000  0.0065
     12   0.0004  0.0013     0.0000  0.0001
     13   0.0006  0.0017     0.0000  0.0019
     14   0.0009  0.0023     0.0000  0.0042
     15   0.0016  0.0028     0.0000  0.0054
     16   0.0025  0.0033     0.0000  0.0060
     17   0.0036  0.0034     0.0000  0.0063
     18   0.0047  0.0033     0.0000  0.0065
     19   0.0055  0.0028     0.0000  0.0066

