trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   75  50.00  0.00 800.00  2.00  1
  1  769 430.00  0.00 800.00 52.00  0
  2  655 370.00  0.00 800.00  8.60  1
  3  784 440.00  0.00 800.00 17.20  1
  4  822 460.00  0.00 800.00 26.00  0
  5  732 410.00  0.00 800.00 26.00  0
  6  766 430.00  0.00 800.00 17.20  1
  7  732 410.00  0.00 800.00 52.00  0
  8  732 410.00  0.00 800.00 52.00  0
  9  732 400.00  0.00 800.00 52.00  0
 10  732 400.00  0.00 800.00 21.50  0
 11  766 430.00  0.00 800.00 17.20  1
 12  766 410.00  0.00 800.00 21.50  0
 13  766 410.00  0.00 800.00 21.50  1
 14  677 380.00  0.00 800.00 21.50  1
 15  750 420.00  0.00 800.00 26.00  0
 16  766 430.00  0.00 800.00 17.20  1
 17  766 410.00  0.00 800.00 12.90  1
 18  766 440.00  0.00 800.00 21.50  1
 19  768 430.00  0.00 800.00 26.00  0
