Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6113  2.7303    -9.0002 -0.4843
      1  -2.4212  1.5175    -4.8181 -0.2618
      2  -1.1481  0.9230    -2.3420 -0.1308
      3  -1.7943  0.7017    -2.5205 -1.3298
      4  -2.0728  0.6465    -2.7041 -1.7393
      5  -2.2519  0.6661    -3.0898 -1.9899
      6  -2.7345  1.0917    -4.9928 -2.1221
      7  -2.4357  0.7522    -3.2976 -2.1160
      8  -2.5127  0.6928    -3.3858 -2.1859
      9  -2.4104  0.5122    -2.8506 -2.1785
     10  -2.4244  0.4172    -2.8415 -2.3244
     11  -2.3932  0.2992    -2.7219 -2.3288
     12  -2.3742  0.2258    -2.6325 -2.3227
     13  -2.3816  0.1723    -2.6324 -2.3831
     14  -2.3684  0.2700    -2.6310 -2.2494
     15  -2.3778  0.2087    -2.6309 -2.3783
     16  -2.3550  0.4567    -2.6359 -2.1547
     17  -2.3174  0.4298    -2.6290 -2.1391
     18  -2.2477  0.5063    -2.6205 -2.1196
     19  -2.1911  0.4732    -2.5947 -2.1152

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1021  0.0586     0.0073  0.1899
      2   0.1020  0.0586     0.0075  0.1899
      3   0.1010  0.0591     0.0059  0.1897
      4   0.1001  0.0592     0.0054  0.1896
      5   0.0985  0.0603     0.0043  0.1896
      6   0.0417  0.0389     0.0001  0.1199
      7   0.0526  0.0405     0.0013  0.1310
      8   0.0557  0.0425     0.0019  0.1385
      9   0.0643  0.0428     0.0054  0.1458
     10   0.0709  0.0437     0.0081  0.1525
     11   0.0746  0.0427     0.0130  0.1545
     12   0.0799  0.0423     0.0174  0.1582
     13   0.0850  0.0419     0.0219  0.1618
     14   0.0627  0.0329     0.0141  0.1210
     15   0.0669  0.0329     0.0172  0.1248
     16   0.0397  0.0207     0.0065  0.0738
     17   0.0399  0.0204     0.0073  0.0736
     18   0.0351  0.0184     0.0048  0.0653
     19   0.0365  0.0192     0.0054  0.0682

