Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5720  2.9495    -8.8323 -0.1437
      1  -2.9717  2.8959    -8.6580 -0.1049
      2  -2.3074  2.6906    -8.3207 -0.0815
      3  -1.7096  2.3409    -7.6623 -0.0684
      4  -1.2634  1.9290    -6.3995 -0.0612
      5  -2.1586  2.1647    -7.5852 -0.2314
      6  -1.8085  1.8254    -6.3535 -0.2158
      7  -2.8840  2.0781    -7.7460 -0.5685
      8  -2.6040  1.8082    -6.7155 -0.5815
      9  -2.4185  1.5805    -5.7014 -0.5898
     10  -3.2938  1.6391    -6.5632 -1.1877
     11  -4.0824  1.6156    -7.1827 -1.7442
     12  -4.0511  1.4709    -6.7239 -1.9760
     13  -4.6635  1.3884    -7.1182 -2.6419
     14  -5.1821  1.3520    -7.5533 -3.2020
     15  -5.2200  1.2238    -7.3846 -3.5335
     16  -4.8440  1.0370    -6.5042 -3.3980
     17  -4.5178  0.9597    -5.9851 -3.1794
     18  -4.7999  0.8963    -6.1703 -3.6544
     19  -5.0260  0.8494    -6.3140 -4.0286

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0049  0.0118     0.0000  0.0250
      1   0.0077  0.0141     0.0000  0.0329
      2   0.0108  0.0158     0.0000  0.0392
      3   0.0136  0.0166     0.0000  0.0435
      4   0.0158  0.0170     0.0000  0.0463
      5   0.0073  0.0063     0.0000  0.0162
      6   0.0083  0.0061     0.0000  0.0172
      7   0.0055  0.0039     0.0000  0.0084
      8   0.0063  0.0035     0.0000  0.0093
      9   0.0069  0.0031     0.0001  0.0098
     10   0.0063  0.0028     0.0000  0.0068
     11   0.0059  0.0028     0.0000  0.0067
     12   0.0064  0.0023     0.0000  0.0067
     13   0.0064  0.0023     0.0000  0.0067
     14   0.0063  0.0024     0.0000  0.0067
     15   0.0067  0.0019     0.0001  0.0067
     16   0.0067  0.0018     0.0001  0.0067
     17   0.0068  0.0017     0.0001  0.0067
     18   0.0068  0.0018     0.0001  0.0068
     19   0.0068  0.0018     0.0001  0.0068

