Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9580  2.8057    -8.3015 -0.0386
      1  -3.7148  2.9056    -8.8543 -0.2576
      2  -4.6633  2.7460    -9.0233 -0.4896
      3  -4.6907  2.7520    -9.0350 -0.4957
      4  -4.7781  2.7602    -9.0615 -0.5140
      5  -4.8673  2.7784    -9.0934 -0.5309
      6  -5.0176  2.8064    -9.1389 -0.5573
      7  -5.2588  2.8375    -9.1942 -0.6004
      8  -5.6088  2.8488    -7.8749 -0.6712
      9  -6.0435  2.8047    -6.3420 -0.7807
     10  -6.4897  2.6873    -5.2835 -0.9309
     11  -7.0964  2.3017    -4.4344 -1.5788
     12  -7.5037  1.9152    -3.9836 -2.8479
     13  -7.7508  1.5948    -3.7460 -4.6574
     14  -8.0181  1.2417    -3.3920 -6.2415
     15  -8.0897  1.0839    -3.3343 -6.4850
     16  -8.2649  0.8999    -2.9401 -6.9641
     17  -8.3895  0.7849    -2.6115 -7.2549
     18  -8.4869  0.6996    -2.3380 -7.4674
     19  -8.5685  0.6332    -2.1007 -7.6531

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0547  0.0658     0.0000  0.1815
      1   0.0040  0.0089     0.0000  0.0187
      2   0.0002  0.0007     0.0000  0.0001
      3   0.0002  0.0009     0.0000  0.0001
      4   0.0003  0.0013     0.0000  0.0001
      5   0.0005  0.0017     0.0000  0.0016
      6   0.0009  0.0022     0.0000  0.0040
      7   0.0015  0.0028     0.0000  0.0053
      8   0.0023  0.0033     0.0000  0.0060
      9   0.0034  0.0035     0.0000  0.0063
     10   0.0045  0.0034     0.0000  0.0065
     11   0.0054  0.0030     0.0000  0.0066
     12   0.0061  0.0025     0.0000  0.0066
     13   0.0065  0.0019     0.0001  0.0067
     14   0.0067  0.0016     0.0001  0.0067
     15   0.0069  0.0012     0.0003  0.0067
     16   0.0070  0.0011     0.0003  0.0067
     17   0.0070  0.0011     0.0004  0.0067
     18   0.0071  0.0011     0.0004  0.0068
     19   0.0071  0.0011     0.0004  0.0068

