Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9252  1.9942    -9.1332 -2.9899
      1  -4.2710  1.1029    -5.9665 -2.8048
      2  -3.3715  0.7271    -4.2454 -2.6833
      3  -3.7415  0.5898    -4.4156 -3.3913
      4  -3.5647  0.4869    -4.0172 -3.2888
      5  -3.4259  0.4719    -3.8567 -3.1920
      6  -3.2408  0.8856    -3.9350 -2.3880
      7  -3.4364  0.9280    -4.4265 -2.7493
      8  -3.3762  0.7146    -3.8767 -2.9118
      9  -3.3438  0.5514    -3.7214 -2.9619
     10  -3.3281  0.4328    -3.6856 -2.9988
     11  -3.4681  1.1025    -5.5181 -2.3439
     12  -3.4605  0.8572    -4.1592 -2.7969
     13  -3.4207  1.4853    -7.2907 -1.6874
     14  -3.2848  1.1693    -5.6908 -2.1243
     15  -3.2023  0.9132    -4.0989 -2.2976
     16  -3.1566  0.7264    -3.9163 -2.3896
     17  -3.2153  0.5938    -3.9064 -2.6461
     18  -3.2502  0.4886    -3.9004 -2.7738
     19  -3.2799  0.4102    -3.9001 -2.9122

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0591     0.0057  0.1898
      1   0.1011  0.0592     0.0053  0.1898
      2   0.1008  0.0595     0.0047  0.1898
      3   0.1009  0.0591     0.0052  0.1897
      4   0.1052  0.0580     0.0083  0.1904
      5   0.1039  0.0582     0.0080  0.1902
      6   0.0444  0.0372     0.0001  0.1159
      7   0.0433  0.0360     0.0001  0.1109
      8   0.0475  0.0358     0.0001  0.1145
      9   0.0506  0.0355     0.0029  0.1169
     10   0.0526  0.0351     0.0055  0.1183
     11   0.0185  0.0140     0.0000  0.0412
     12   0.0208  0.0138     0.0001  0.0431
     13   0.0095  0.0077     0.0000  0.0202
     14   0.0108  0.0073     0.0000  0.0205
     15   0.0115  0.0070     0.0001  0.0207
     16   0.0120  0.0068     0.0003  0.0210
     17   0.0131  0.0069     0.0005  0.0229
     18   0.0140  0.0070     0.0008  0.0241
     19   0.0148  0.0070     0.0011  0.0250

