trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  729 410.00  0.00 800.00 12.90  1
  1  844 470.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  732 410.00  0.00 800.00 26.00  1
  4  661 370.00  0.00 800.00 52.00  0
  5  822 460.00  0.00 800.00 26.00  0
  6  714 400.00  0.00 800.00 26.00  0
  7  732 410.00  0.00 800.00 26.00  1
  8  714 390.00  0.00 800.00 52.00  0
  9  714 390.00  0.00 800.00 52.00  0
 10  714 410.00  0.00 800.00 52.00  0
 11  714 380.00  0.00 800.00 52.00  1
 12  568 320.00  0.00 800.00 17.20  1
 13  605 340.00  0.00 800.00 21.50  0
 14 1421 790.00  0.00 800.00 520.00  0
 15 1421 790.00  0.00 800.00 260.00  0
 16 1421 780.00  0.00 800.00 260.00  0
 17  568 320.00  0.00 800.00 17.20  1
 18  550 310.00  0.00 800.00 17.20  1
 19  586 330.00  0.00 800.00 17.20  1
