Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.3357  2.8290    -8.9648 -0.2786
      1  -4.1761  2.8730    -8.9419 -0.2229
      2  -3.9757  2.9147    -8.9100 -0.1797
      3  -3.7703  2.9425    -8.8730 -0.1506
      4  -2.4519  2.5206    -8.1378 -0.0968
      5  -2.0274  2.2332    -7.3336 -0.0851
      6  -3.2839  2.1925    -8.0660 -0.4111
      7  -3.0160  1.9654    -7.2639 -0.3939
      8  -2.2632  1.7770    -6.3376 -0.2418
      9  -2.7755  1.6233    -6.4844 -0.7537
     10  -2.6291  1.4020    -5.2413 -0.7818
     11  -2.2014  1.2914    -4.2095 -0.5439
     12  -2.4666  1.1353    -4.2086 -1.1338
     13  -2.9032  1.1935    -5.0416 -1.6431
     14  -2.8275  1.0142    -4.4675 -1.6877
     15  -2.5825  0.9057    -3.8744 -1.5610
     16  -2.7222  0.8119    -3.9314 -1.8625
     17  -2.5730  0.7194    -3.6148 -1.7691
     18  -2.4309  0.6734    -3.3731 -1.6543
     19  -2.5166  0.5915    -3.4028 -1.8707

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0019  0.0042     0.0000  0.0066
      1   0.0030  0.0050     0.0000  0.0092
      2   0.0044  0.0056     0.0000  0.0116
      3   0.0058  0.0058     0.0000  0.0129
      4   0.0068  0.0066     0.0000  0.0158
      5   0.0080  0.0065     0.0000  0.0173
      6   0.0057  0.0040     0.0000  0.0096
      7   0.0066  0.0036     0.0000  0.0104
      8   0.0067  0.0037     0.0000  0.0108
      9   0.0068  0.0038     0.0000  0.0112
     10   0.0073  0.0034     0.0001  0.0115
     11   0.0075  0.0035     0.0001  0.0119
     12   0.0079  0.0038     0.0001  0.0126
     13   0.0072  0.0033     0.0001  0.0111
     14   0.0075  0.0030     0.0001  0.0112
     15   0.0078  0.0032     0.0002  0.0119
     16   0.0081  0.0033     0.0003  0.0124
     17   0.0084  0.0036     0.0003  0.0129
     18   0.0086  0.0037     0.0004  0.0131
     19   0.0090  0.0040     0.0005  0.0135

