Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.9225  2.3487    -7.7038 -0.4131
      1  -5.8536  1.3038    -7.9195 -4.0916
      2  -4.8702  0.7932    -6.0211 -3.9962
      3  -4.3238  0.6029    -4.9991 -3.8822
      4  -4.0412  0.5764    -4.5988 -3.6597
      5  -3.8669  0.6205    -4.3953 -3.2113
      6  -3.9689  0.3616    -4.3962 -3.9288
      7  -3.9803  0.2524    -4.3881 -3.9581
      8  -3.9822  0.1935    -4.3826 -3.9609
      9  -3.9823  0.1571    -4.3788 -3.9623
     10  -3.9797  0.1299    -4.3707 -3.9624
     11  -3.9800  0.1155    -4.3690 -3.9632
     12  -3.9784  0.1043    -4.3628 -3.9632
     13  -3.9774  0.0979    -4.3583 -3.9632
     14  -3.9763  0.0934    -4.3532 -3.9632
     15  -3.9769  0.0909    -4.3528 -3.9639
     16  -3.9771  0.0898    -4.3525 -3.9642
     17  -3.9765  0.0881    -4.3495 -3.9642
     18  -3.9760  0.0869    -4.3470 -3.9641
     19  -3.9762  0.0864    -4.3468 -3.9644

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0589     0.0062  0.1898
      1   0.1012  0.0590     0.0062  0.1898
      2   0.1016  0.0589     0.0063  0.1898
      3   0.1020  0.0592     0.0057  0.1900
      4   0.1014  0.0596     0.0050  0.1900
      5   0.0988  0.0604     0.0039  0.1896
      6   0.1112  0.0561     0.0129  0.1912
      7   0.1145  0.0541     0.0202  0.1915
      8   0.1164  0.0528     0.0244  0.1917
      9   0.1176  0.0520     0.0272  0.1918
     10   0.1182  0.0516     0.0287  0.1918
     11   0.1189  0.0511     0.0303  0.1919
     12   0.1194  0.0508     0.0315  0.1919
     13   0.1197  0.0505     0.0323  0.1920
     14   0.1201  0.0502     0.0334  0.1920
     15   0.1208  0.0498     0.0347  0.1921
     16   0.1210  0.0497     0.0353  0.1921
     17   0.1212  0.0495     0.0358  0.1921
     18   0.1214  0.0494     0.0363  0.1921
     19   0.1217  0.0492     0.0369  0.1921

