Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.0916  1.4278    -7.6529 -5.2744
      1  -5.9659  0.9049    -7.0985 -5.0656
      2  -5.4287  0.7392    -6.1960 -4.8535
      3  -5.1211  0.7671    -5.7576 -4.3704
      4  -4.8263  0.9890    -5.6356 -3.1198
      5  -4.3251  1.4525    -6.6350 -1.3811
      6  -3.6370  1.8784    -7.6725 -0.6310
      7  -3.5009  1.6618    -6.4661 -0.6733
      8  -3.8993  1.2843    -5.7840 -1.7889
      9  -4.1028  1.0304    -5.4507 -2.7418
     10  -3.7706  1.2225    -5.8649 -2.0992
     11  -3.7239  1.0182    -5.0641 -2.3861
     12  -3.8477  0.8447    -4.9860 -2.8916
     13  -3.9096  0.7112    -4.9544 -3.1432
     14  -3.7318  0.6895    -4.6967 -2.9863
     15  -3.6315  0.6168    -4.4743 -2.9461
     16  -3.6988  0.5297    -4.4904 -3.1523
     17  -3.5577  0.5415    -4.3476 -2.9855
     18  -3.6051  0.4685    -4.3603 -3.1502
     19  -3.5488  0.4157    -4.2083 -3.1118

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1004  0.0595     0.0032  0.1897
      1   0.0989  0.0600     0.0019  0.1894
      2   0.0978  0.0602     0.0010  0.1892
      3   0.0925  0.0612     0.0001  0.1881
      4   0.0686  0.0589     0.0001  0.1783
      5   0.0198  0.0217     0.0000  0.0605
      6   0.0071  0.0063     0.0000  0.0160
      7   0.0082  0.0061     0.0000  0.0171
      8   0.0095  0.0067     0.0000  0.0193
      9   0.0109  0.0070     0.0001  0.0205
     10   0.0084  0.0054     0.0000  0.0148
     11   0.0090  0.0051     0.0001  0.0153
     12   0.0098  0.0053     0.0001  0.0169
     13   0.0104  0.0053     0.0003  0.0179
     14   0.0105  0.0054     0.0003  0.0181
     15   0.0111  0.0056     0.0005  0.0190
     16   0.0118  0.0058     0.0006  0.0197
     17   0.0114  0.0056     0.0006  0.0191
     18   0.0121  0.0057     0.0007  0.0197
     19   0.0128  0.0059     0.0009  0.0203

