Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0089  2.5067    -9.0406 -1.2282
      1  -2.8355  1.3186    -4.8854 -0.9932
      2  -1.7978  0.8498    -2.8807 -0.8671
      3  -2.3055  0.6412    -3.0213 -1.8561
      4  -2.5851  0.5722    -3.1481 -2.3044
      5  -2.4155  0.5330    -2.8401 -2.1802
      6  -2.4301  0.4141    -2.8315 -2.3810
      7  -2.6833  0.7709    -3.5045 -2.3883
      8  -2.5669  0.8141    -3.2146 -2.3202
      9  -2.4759  0.6806    -2.8783 -2.3060
     10  -2.7302  1.1119    -4.9440 -2.2154
     11  -2.6158  0.8399    -3.1818 -2.2853
     12  -2.5363  0.8236    -3.0407 -2.2075
     13  -2.4985  0.6284    -2.8925 -2.3441
     14  -2.4436  0.5159    -2.8481 -2.3362
     15  -2.4577  0.4674    -2.8611 -2.3827
     16  -2.5052  0.4970    -2.8858 -2.3880
     17  -2.4506  0.4302    -2.8520 -2.3852
     18  -2.4141  0.3750    -2.7608 -2.3836
     19  -2.5322  0.6975    -2.8958 -2.3802

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1025  0.0584     0.0077  0.1899
      1   0.1025  0.0584     0.0077  0.1899
      2   0.1028  0.0583     0.0080  0.1900
      3   0.1022  0.0583     0.0078  0.1898
      4   0.1018  0.0585     0.0073  0.1897
      5   0.1037  0.0581     0.0085  0.1901
      6   0.1133  0.0556     0.0152  0.1916
      7   0.0571  0.0415     0.0008  0.1354
      8   0.0552  0.0396     0.0001  0.1288
      9   0.0631  0.0410     0.0026  0.1380
     10   0.0329  0.0247     0.0000  0.0754
     11   0.0359  0.0241     0.0001  0.0772
     12   0.0365  0.0240     0.0001  0.0775
     13   0.0392  0.0235     0.0027  0.0794
     14   0.0428  0.0240     0.0056  0.0833
     15   0.0448  0.0244     0.0074  0.0862
     16   0.0410  0.0221     0.0065  0.0782
     17   0.0443  0.0229     0.0082  0.0825
     18   0.0479  0.0238     0.0098  0.0876
     19   0.0305  0.0168     0.0013  0.0572

