Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0761  1.5047    -4.5441 -0.0970
      1  -1.4523  1.4103    -4.8238 -0.7991
      2  -1.5381  1.2738    -4.1192 -1.0628
      3  -1.7007  1.2852    -4.5172 -1.2122
      4  -2.4988  1.9234    -7.6478 -1.3405
      5  -3.8942  2.3702    -8.7131 -1.3795
      6  -5.3863  2.3828    -9.0816 -1.3533
      7  -5.5325  2.2792    -9.0932 -1.8331
      8  -4.4140  1.9174    -8.2937 -1.6582
      9  -4.3770  1.7792    -8.0105 -1.9123
     10  -3.7259  1.4834    -6.6266 -1.8116
     11  -3.6656  1.3434    -6.0452 -1.8970
     12  -4.1555  1.2319    -6.3650 -2.4903
     13  -4.5854  1.1788    -6.7948 -3.0910
     14  -4.2309  0.9947    -5.8092 -2.9382
     15  -4.2179  0.8994    -5.6917 -3.0032
     16  -4.4804  0.8412    -5.9010 -3.4596
     17  -4.2788  0.7272    -5.4582 -3.3458
     18  -4.4449  0.6725    -5.5667 -3.6524
     19  -4.3381  0.5909    -5.3307 -3.5919

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0938  0.0626     0.0001  0.1889
      1   0.0928  0.0631     0.0001  0.1889
      2   0.0960  0.0620     0.0001  0.1893
      3   0.0930  0.0623     0.0001  0.1887
      4   0.0397  0.0431     0.0000  0.1295
      5   0.0086  0.0090     0.0000  0.0235
      6   0.0047  0.0038     0.0000  0.0068
      7   0.0057  0.0035     0.0000  0.0069
      8   0.0057  0.0037     0.0000  0.0081
      9   0.0065  0.0033     0.0000  0.0089
     10   0.0068  0.0033     0.0000  0.0103
     11   0.0072  0.0030     0.0001  0.0105
     12   0.0072  0.0028     0.0001  0.0100
     13   0.0071  0.0027     0.0001  0.0097
     14   0.0073  0.0029     0.0001  0.0107
     15   0.0075  0.0027     0.0003  0.0108
     16   0.0076  0.0027     0.0003  0.0111
     17   0.0079  0.0029     0.0003  0.0117
     18   0.0080  0.0030     0.0004  0.0121
     19   0.0083  0.0032     0.0004  0.0126

