Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7673  2.0796    -9.1171 -2.6843
      1  -3.9830  1.1128    -5.7003 -2.4982
      2  -3.2063  0.7507    -4.2001 -2.4174
      3  -3.7323  0.5834    -4.4007 -3.3611
      4  -3.5583  0.4893    -4.0104 -3.2627
      5  -3.7089  0.4566    -4.1341 -3.5169
      6  -3.5996  0.8960    -4.5879 -2.9787
      7  -3.5444  0.6797    -4.0968 -3.1381
      8  -3.5152  0.5204    -3.9502 -3.1914
      9  -3.4009  0.6037    -3.9024 -2.9102
     10  -3.4473  0.4578    -3.8939 -3.2228
     11  -3.4188  0.3639    -3.7857 -3.2303
     12  -3.4380  0.2735    -3.7827 -3.4228
     13  -3.5226  0.4915    -3.9420 -3.3632
     14  -3.5479  0.4307    -3.9454 -3.4355
     15  -3.5325  0.3271    -3.9353 -3.4371
     16  -3.4725  0.3277    -3.8951 -3.4304
     17  -3.4476  0.2619    -3.8300 -3.4304
     18  -3.4311  0.2146    -3.6894 -3.4301
     19  -3.4352  0.1625    -3.6891 -3.4350

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0589     0.0062  0.1898
      1   0.1014  0.0590     0.0057  0.1898
      2   0.1017  0.0588     0.0063  0.1898
      3   0.1008  0.0592     0.0054  0.1897
      4   0.1047  0.0582     0.0080  0.1904
      5   0.1066  0.0578     0.0088  0.1907
      6   0.0497  0.0410     0.0001  0.1284
      7   0.0535  0.0405     0.0005  0.1310
      8   0.0561  0.0400     0.0034  0.1328
      9   0.0511  0.0409     0.0015  0.1317
     10   0.0587  0.0414     0.0046  0.1386
     11   0.0645  0.0420     0.0074  0.1441
     12   0.0706  0.0417     0.0115  0.1488
     13   0.0386  0.0235     0.0035  0.0792
     14   0.0405  0.0237     0.0056  0.0817
     15   0.0418  0.0234     0.0080  0.0824
     16   0.0443  0.0257     0.0077  0.0893
     17   0.0482  0.0262     0.0094  0.0938
     18   0.0521  0.0270     0.0112  0.0985
     19   0.0544  0.0266     0.0143  0.1002

