Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6359  1.3143    -3.1894 -0.1733
      1  -0.8804  1.1377    -1.8869 -0.0927
      2  -0.5019  1.1298    -1.2758 -0.0511
      3  -0.3220  1.0049    -0.7492 -0.0370
      4  -0.2052  0.9993    -0.5195 -0.0252
      5  -1.8058  2.7669    -8.2202 -0.0355
      6  -1.1522  2.3391    -7.4543 -0.0308
      7  -0.6899  1.8489    -5.9330 -0.0284
      8  -0.4054  1.3962    -3.0083 -0.0272
      9  -0.2422  1.0512    -0.7416 -0.0261
     10  -0.1497  0.8029    -0.5020 -0.0252
     11  -0.4903  1.4703    -3.7160 -0.0309
     12  -0.3127  1.0885    -0.9390 -0.0301
     13  -0.2132  0.8199    -0.6941 -0.0291
     14  -0.6528  1.6014    -4.7583 -0.0390
     15  -4.1894  2.8432    -8.9372 -0.2539
     16  -3.9966  2.8846    -8.9037 -0.1945
     17  -3.6943  2.9350    -8.8472 -0.1401
     18  -3.2406  2.9671    -8.7483 -0.0986
     19  -4.2755  2.7802    -8.9397 -0.3635

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0984  0.0606     0.0003  0.1895
      1   0.0988  0.0603     0.0005  0.1895
      2   0.1001  0.0601     0.0004  0.1898
      3   0.1044  0.0584     0.0048  0.1903
      4   0.1052  0.0578     0.0062  0.1902
      5   0.0174  0.0211     0.0000  0.0560
      6   0.0216  0.0216     0.0000  0.0601
      7   0.0246  0.0214     0.0000  0.0622
      8   0.0265  0.0210     0.0001  0.0637
      9   0.0288  0.0209     0.0005  0.0658
     10   0.0315  0.0210     0.0020  0.0683
     11   0.0155  0.0104     0.0001  0.0318
     12   0.0162  0.0101     0.0002  0.0321
     13   0.0173  0.0100     0.0008  0.0329
     14   0.0094  0.0057     0.0000  0.0173
     15   0.0004  0.0014     0.0000  0.0001
     16   0.0007  0.0019     0.0000  0.0027
     17   0.0011  0.0024     0.0000  0.0046
     18   0.0018  0.0030     0.0000  0.0056
     19   0.0001  0.0004     0.0000  0.0001

