Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.8721  1.5173    -8.4785 -4.8364
      1  -5.7504  0.9445    -7.0741 -4.7479
      2  -5.2155  0.7045    -6.0466 -4.5927
      3  -4.8112  0.6557    -5.4507 -4.3361
      4  -4.9960  0.5814    -5.5271 -4.7671
      5  -4.9873  0.4395    -5.4668 -4.7897
      6  -5.0304  0.3252    -5.4693 -5.0081
      7  -5.0270  0.2454    -5.4456 -5.0091
      8  -5.0233  0.1906    -5.4224 -5.0097
      9  -5.0303  0.1473    -5.4223 -5.0147
     10  -5.0291  0.1235    -5.4146 -5.0149
     11  -5.0285  0.1092    -5.4099 -5.0150
     12  -5.0274  0.0999    -5.4039 -5.0150
     13  -5.0290  0.0923    -5.4042 -5.0163
     14  -5.0284  0.0889    -5.4006 -5.0163
     15  -5.0278  0.0866    -5.3976 -5.0163
     16  -5.0299  0.0831    -5.3996 -5.0181
     17  -5.0290  0.0811    -5.3947 -5.0180
     18  -5.0279  0.0791    -5.3886 -5.0180
     19  -5.0275  0.0782    -5.3859 -5.0180

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0595     0.0038  0.1897
      1   0.0996  0.0597     0.0034  0.1895
      2   0.1002  0.0594     0.0041  0.1896
      3   0.0970  0.0601     0.0024  0.1890
      4   0.0981  0.0594     0.0031  0.1890
      5   0.1025  0.0573     0.0090  0.1895
      6   0.1111  0.0553     0.0164  0.1910
      7   0.1132  0.0540     0.0211  0.1912
      8   0.1151  0.0528     0.0247  0.1914
      9   0.1181  0.0513     0.0294  0.1917
     10   0.1188  0.0509     0.0310  0.1918
     11   0.1192  0.0505     0.0321  0.1918
     12   0.1197  0.0502     0.0333  0.1919
     13   0.1208  0.0496     0.0353  0.1920
     14   0.1211  0.0494     0.0360  0.1920
     15   0.1213  0.0492     0.0366  0.1920
     16   0.1233  0.0483     0.0392  0.1922
     17   0.1237  0.0481     0.0401  0.1923
     18   0.1241  0.0478     0.0412  0.1923
     19   0.1244  0.0476     0.0417  0.1923

