Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5487  2.7543    -8.9924 -0.4292
      1  -4.5114  2.7689    -8.9879 -0.3977
      2  -4.4397  2.7949    -8.9788 -0.3473
      3  -4.3123  2.8355    -8.9616 -0.2789
      4  -4.1155  2.8853    -8.9326 -0.2196
      5  -3.8387  2.9308    -8.8854 -0.1714
      6  -3.5093  2.9494    -8.8169 -0.1373
      7  -2.5861  2.6737    -8.3593 -0.0991
      8  -2.0883  2.3966    -7.7359 -0.0847
      9  -1.4465  1.9825    -6.5690 -0.0691
     10  -1.1743  1.6407    -4.8194 -0.0650
     11  -2.2215  1.9908    -6.9061 -0.1730
     12  -1.9954  1.7444    -5.6675 -0.1633
     13  -2.8203  1.7089    -6.4445 -0.5793
     14  -2.2067  1.5596    -5.4367 -0.3642
     15  -2.6117  1.4406    -5.5872 -0.9085
     16  -2.4993  1.2425    -4.6605 -0.9359
     17  -2.1211  1.1590    -3.8126 -0.6739
     18  -2.3800  1.0546    -3.9430 -1.1895
     19  -2.6169  0.9990    -4.1717 -1.5936

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0011     0.0000  0.0001
      1   0.0004  0.0014     0.0000  0.0001
      2   0.0006  0.0019     0.0000  0.0025
      3   0.0011  0.0025     0.0000  0.0046
      4   0.0017  0.0031     0.0000  0.0057
      5   0.0027  0.0035     0.0000  0.0062
      6   0.0038  0.0037     0.0000  0.0066
      7   0.0046  0.0037     0.0000  0.0067
      8   0.0056  0.0034     0.0000  0.0068
      9   0.0062  0.0031     0.0000  0.0070
     10   0.0067  0.0026     0.0001  0.0070
     11   0.0059  0.0027     0.0000  0.0066
     12   0.0064  0.0022     0.0001  0.0067
     13   0.0062  0.0023     0.0000  0.0067
     14   0.0063  0.0023     0.0000  0.0067
     15   0.0063  0.0023     0.0000  0.0067
     16   0.0067  0.0018     0.0001  0.0067
     17   0.0067  0.0018     0.0001  0.0067
     18   0.0067  0.0017     0.0001  0.0067
     19   0.0068  0.0017     0.0001  0.0067

