Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5329  2.2675    -7.7438 -0.3613
      1  -1.6793  1.1856    -3.3574 -0.1840
      2  -2.5714  0.8016    -3.4566 -1.8689
      3  -2.1574  0.6789    -2.7714 -1.7128
      4  -2.4574  0.7162    -3.0350 -2.1405
      5  -2.3799  0.5430    -2.6849 -2.1415
      6  -2.4039  0.4110    -2.6587 -2.3768
      7  -2.3958  0.3030    -2.6379 -2.3807
      8  -2.5919  0.7382    -3.2480 -2.3811
      9  -2.6508  0.7059    -3.3375 -2.3948
     10  -2.7495  0.7019    -3.4974 -2.4405
     11  -2.6663  0.5096    -3.1107 -2.4388
     12  -2.6837  0.4255    -3.1082 -2.5381
     13  -2.6500  0.3126    -2.9532 -2.5335
     14  -2.6425  0.7064    -3.1320 -2.3944
     15  -2.5780  0.7366    -3.0534 -2.3829
     16  -2.5099  0.6381    -2.8901 -2.3812
     17  -2.4636  0.4914    -2.8628 -2.3823
     18  -2.4234  0.4380    -2.7962 -2.3803
     19  -2.4000  0.3359    -2.6987 -2.3811

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0589     0.0058  0.1894
      1   0.1012  0.0590     0.0058  0.1898
      2   0.1003  0.0593     0.0048  0.1896
      3   0.1005  0.0593     0.0050  0.1897
      4   0.0960  0.0602     0.0026  0.1889
      5   0.1063  0.0579     0.0080  0.1906
      6   0.1168  0.0546     0.0170  0.1920
      7   0.1196  0.0526     0.0240  0.1922
      8   0.0540  0.0381     0.0013  0.1246
      9   0.0506  0.0352     0.0018  0.1149
     10   0.0462  0.0324     0.0017  0.1049
     11   0.0512  0.0320     0.0057  0.1088
     12   0.0551  0.0331     0.0077  0.1146
     13   0.0590  0.0326     0.0119  0.1173
     14   0.0323  0.0191     0.0011  0.0639
     15   0.0333  0.0203     0.0008  0.0675
     16   0.0368  0.0213     0.0026  0.0728
     17   0.0396  0.0211     0.0065  0.0750
     18   0.0428  0.0223     0.0077  0.0802
     19   0.0455  0.0222     0.0100  0.0823

