Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4784  1.4544    -4.1296 -0.1471
      1  -0.8032  1.2366    -2.1334 -0.0799
      2  -1.2075  1.2466    -3.2400 -0.6304
      3  -1.0272  1.1887    -2.3431 -0.5531
      4  -0.8938  0.9104    -1.2156 -0.5518
      5  -2.2959  2.8141    -8.4305 -0.0824
      6  -1.6217  2.4585    -7.8679 -0.0680
      7  -1.1064  2.0018    -6.7522 -0.0603
      8  -0.7716  1.5514    -4.5855 -0.0562
      9  -0.5746  1.1697    -1.6516 -0.0541
     10  -0.4465  0.9224    -1.1544 -0.0501
     11  -0.6131  1.0316    -1.3976 -0.0814
     12  -0.5160  0.8091    -1.1543 -0.0770
     13  -0.4745  1.1210    -1.2825 -0.0450
     14  -0.3751  0.8341    -1.0320 -0.0443
     15  -0.3094  0.6529    -0.9327 -0.0423
     16  -0.2631  0.5208    -0.8113 -0.0404
     17  -0.2287  0.4213    -0.7703 -0.0386
     18  -0.2895  0.4378    -0.8141 -0.0487
     19  -0.2271  0.5887    -0.7609 -0.0351

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0958  0.0617     0.0001  0.1892
      1   0.0977  0.0608     0.0001  0.1894
      2   0.0937  0.0618     0.0001  0.1887
      3   0.0943  0.0610     0.0001  0.1885
      4   0.1035  0.0588     0.0040  0.1901
      5   0.0086  0.0107     0.0000  0.0265
      6   0.0111  0.0110     0.0000  0.0285
      7   0.0131  0.0108     0.0000  0.0303
      8   0.0144  0.0105     0.0000  0.0312
      9   0.0152  0.0102     0.0001  0.0316
     10   0.0165  0.0103     0.0005  0.0330
     11   0.0151  0.0099     0.0002  0.0310
     12   0.0163  0.0100     0.0007  0.0322
     13   0.0117  0.0067     0.0001  0.0206
     14   0.0120  0.0065     0.0005  0.0207
     15   0.0127  0.0066     0.0007  0.0216
     16   0.0134  0.0067     0.0009  0.0229
     17   0.0141  0.0068     0.0011  0.0239
     18   0.0141  0.0068     0.0010  0.0241
     19   0.0112  0.0052     0.0006  0.0184

