Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0941  1.7741    -6.0252 -0.0811
      1  -0.7572  1.7826    -5.7732 -0.0423
      2  -0.8583  1.7352    -5.7161 -0.1683
      3  -0.6032  1.3970    -3.4017 -0.1465
      4  -0.4841  1.0918    -0.8568 -0.2776
      5  -0.3785  0.8028    -0.5342 -0.2777
      6  -0.3232  0.5725    -0.5297 -0.2778
      7  -0.2954  0.4063    -0.5275 -0.2780
      8  -1.7475  2.7006    -8.1530 -0.0431
      9  -4.5362  2.7583    -8.9909 -0.4263
     10  -4.4808  2.7666    -8.9807 -0.4006
     11  -4.5516  2.7484    -8.9917 -0.4475
     12  -4.5930  2.7485    -9.0012 -0.4565
     13  -4.5524  2.7505    -8.9929 -0.4468
     14  -4.5118  2.7521    -8.9844 -0.4374
     15  -4.5525  2.7504    -8.9928 -0.4469
     16  -4.5934  2.7521    -9.0029 -0.4549
     17  -4.5526  2.7502    -8.9928 -0.4470
     18  -4.5114  2.7493    -8.9830 -0.4388
     19  -4.5519  2.7476    -8.9915 -0.4482

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0901  0.0642     0.0000  0.1887
      1   0.0900  0.0636     0.0000  0.1883
      2   0.0880  0.0635     0.0000  0.1878
      3   0.1022  0.0612     0.0001  0.1904
      4   0.1129  0.0577     0.0018  0.1918
      5   0.1202  0.0537     0.0186  0.1924
      6   0.1228  0.0515     0.0279  0.1926
      7   0.1241  0.0503     0.0323  0.1927
      8   0.0142  0.0148     0.0000  0.0390
      9   0.0001  0.0004     0.0000  0.0001
     10   0.0002  0.0006     0.0000  0.0001
     11   0.0001  0.0001     0.0000  0.0001
     12   0.0001  0.0000     0.0000  0.0001
     13   0.0001  0.0000     0.0000  0.0001
     14   0.0001  0.0000     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

