Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.4026  1.7472    -9.1829 -3.8878
      1  -5.0018  1.0028    -6.5076 -3.7322
      2  -4.3304  0.7056    -5.2387 -3.5759
      3  -3.9268  0.6008    -4.5455 -3.3857
      4  -3.6241  0.6658    -4.1914 -2.9217
      5  -3.3357  0.9133    -4.1328 -2.0841
      6  -2.9677  1.1813    -4.5016 -1.2995
      7  -3.1699  0.9280    -4.0933 -2.2068
      8  -3.2543  0.7483    -3.9405 -2.6926
      9  -3.1093  1.0420    -4.6050 -2.1889
     10  -3.0384  0.8086    -3.8376 -2.3130
     11  -3.0665  0.6404    -3.7289 -2.6077
     12  -3.0921  0.5200    -3.6886 -2.7286
     13  -2.9955  0.5025    -3.5639 -2.6727
     14  -2.9310  0.4452    -3.4096 -2.6543
     15  -2.9496  0.3569    -3.4080 -2.7155
     16  -2.9123  0.2995    -3.3640 -2.7042
     17  -2.9299  0.2443    -3.3679 -2.7779
     18  -2.9729  0.2542    -3.3999 -2.9040
     19  -2.9373  0.2145    -3.3611 -2.9016

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0587     0.0058  0.1899
      1   0.1021  0.0589     0.0051  0.1899
      2   0.1026  0.0590     0.0053  0.1901
      3   0.1014  0.0596     0.0046  0.1900
      4   0.0902  0.0612     0.0018  0.1880
      5   0.0491  0.0449     0.0001  0.1410
      6   0.0210  0.0198     0.0001  0.0572
      7   0.0262  0.0216     0.0001  0.0650
      8   0.0306  0.0228     0.0001  0.0711
      9   0.0192  0.0146     0.0000  0.0438
     10   0.0202  0.0143     0.0001  0.0445
     11   0.0224  0.0145     0.0008  0.0467
     12   0.0244  0.0148     0.0017  0.0486
     13   0.0253  0.0154     0.0018  0.0511
     14   0.0272  0.0162     0.0024  0.0545
     15   0.0293  0.0164     0.0038  0.0567
     16   0.0315  0.0170     0.0053  0.0600
     17   0.0337  0.0172     0.0074  0.0620
     18   0.0323  0.0162     0.0072  0.0592
     19   0.0346  0.0168     0.0080  0.0620

