Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7326  1.3356    -3.4009 -0.1840
      1  -2.4818  1.0056    -3.5517 -1.6195
      2  -2.8832  0.8857    -3.8054 -2.3784
      3  -2.5890  0.7442    -3.1235 -2.2199
      4  -2.7441  0.7380    -3.2714 -2.4639
      5  -2.6637  0.5359    -2.9011 -2.4662
      6  -2.6694  0.4090    -2.8994 -2.6440
      7  -2.6509  0.2892    -2.8955 -2.6446
      8  -2.9823  1.1484    -5.5764 -2.4043
      9  -2.8669  0.8627    -3.5077 -2.4734
     10  -2.8426  0.6799    -3.3231 -2.6426
     11  -2.7802  0.5549    -3.1538 -2.6420
     12  -2.7464  0.4229    -3.1394 -2.6433
     13  -2.7649  0.3533    -3.1426 -2.6539
     14  -2.7342  0.2859    -3.1310 -2.6521
     15  -2.6682  0.3381    -3.0326 -2.6422
     16  -2.6491  0.2637    -2.9003 -2.6423
     17  -2.6397  0.2003    -2.8945 -2.6428
     18  -2.6428  0.1510    -2.8945 -2.6473
     19  -2.6384  0.1151    -2.8913 -2.6474

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0605     0.0009  0.1896
      1   0.0988  0.0606     0.0012  0.1896
      2   0.0995  0.0606     0.0018  0.1898
      3   0.1011  0.0597     0.0027  0.1899
      4   0.1015  0.0597     0.0025  0.1900
      5   0.1123  0.0565     0.0112  0.1915
      6   0.1212  0.0530     0.0220  0.1926
      7   0.1237  0.0511     0.0295  0.1928
      8   0.0360  0.0280     0.0000  0.0849
      9   0.0392  0.0273     0.0001  0.0869
     10   0.0431  0.0272     0.0017  0.0902
     11   0.0468  0.0275     0.0054  0.0945
     12   0.0494  0.0271     0.0090  0.0964
     13   0.0527  0.0276     0.0119  0.1008
     14   0.0552  0.0277     0.0146  0.1034
     15   0.0502  0.0260     0.0110  0.0949
     16   0.0534  0.0262     0.0140  0.0984
     17   0.0558  0.0261     0.0159  0.1006
     18   0.0581  0.0258     0.0188  0.1024
     19   0.0603  0.0258     0.0212  0.1045

