Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5249  2.2529    -9.0958 -2.1543
      1  -3.5787  1.2669    -5.4353 -1.6585
      2  -2.6108  0.9389    -3.6794 -1.0570
      3  -3.2205  0.6305    -3.8961 -2.8391
      4  -3.0394  0.5323    -3.4823 -2.7418
      5  -2.8912  0.5245    -3.2997 -2.6525
      6  -2.9314  0.3802    -3.2961 -2.9045
      7  -2.9049  0.2850    -3.1577 -2.9047
      8  -2.8919  0.2667    -3.1530 -2.8739
      9  -2.8953  0.1870    -3.1526 -2.9038
     10  -2.8878  0.1755    -3.1514 -2.8523
     11  -2.7080  0.7368    -3.1477 -2.2276
     12  -2.7178  0.5547    -3.1357 -2.4731
     13  -2.6628  0.4825    -3.0745 -2.4478
     14  -2.6705  0.3658    -3.0683 -2.5922
     15  -2.6463  0.2907    -2.9461 -2.5869
     16  -2.6513  0.2203    -2.9465 -2.6437
     17  -2.6552  0.1742    -2.9594 -2.6486
     18  -2.6640  0.1651    -3.0215 -2.6512
     19  -2.6592  0.1272    -2.9970 -2.6512

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0590     0.0060  0.1897
      1   0.0998  0.0591     0.0057  0.1895
      2   0.0979  0.0593     0.0053  0.1891
      3   0.1018  0.0588     0.0053  0.1898
      4   0.1060  0.0575     0.0084  0.1904
      5   0.1051  0.0578     0.0077  0.1903
      6   0.1157  0.0545     0.0183  0.1918
      7   0.1227  0.0516     0.0275  0.1927
      8   0.1256  0.0513     0.0291  0.1933
      9   0.1276  0.0495     0.0356  0.1934
     10   0.1292  0.0496     0.0360  0.1938
     11   0.0387  0.0254     0.0007  0.0821
     12   0.0424  0.0248     0.0041  0.0848
     13   0.0448  0.0256     0.0057  0.0886
     14   0.0480  0.0252     0.0096  0.0911
     15   0.0511  0.0255     0.0120  0.0947
     16   0.0536  0.0252     0.0153  0.0965
     17   0.0563  0.0253     0.0177  0.0996
     18   0.0576  0.0258     0.0186  0.1019
     19   0.0584  0.0255     0.0204  0.1024

