Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2328  2.0154    -6.4310 -0.3396
      1  -4.7904  1.2535    -6.9195 -3.2548
      2  -3.9582  0.7507    -4.9829 -3.1845
      3  -4.5019  0.5781    -5.1666 -4.1346
      4  -4.3311  0.4763    -4.7916 -4.0419
      5  -4.1866  0.4645    -4.6264 -3.9356
      6  -4.2323  0.3317    -4.6255 -4.2179
      7  -4.2117  0.2499    -4.4732 -4.2184
      8  -4.2094  0.1890    -4.4714 -4.2192
      9  -4.2118  0.1392    -4.4712 -4.2204
     10  -4.2132  0.1072    -4.4710 -4.2214
     11  -4.2127  0.0886    -4.4705 -4.2215
     12  -4.2118  0.0758    -4.4696 -4.2217
     13  -4.2116  0.0688    -4.4692 -4.2218
     14  -4.2112  0.0635    -4.4686 -4.2220
     15  -4.2118  0.0585    -4.4686 -4.2224
     16  -4.2118  0.0568    -4.4685 -4.2225
     17  -4.2123  0.0538    -4.4685 -4.2229
     18  -4.2097  0.0464    -4.4659 -4.2227
     19  -4.2101  0.0444    -4.4659 -4.2230

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0998  0.0594     0.0050  0.1896
      1   0.0986  0.0596     0.0049  0.1894
      2   0.1012  0.0588     0.0061  0.1897
      3   0.1011  0.0590     0.0054  0.1897
      4   0.1047  0.0582     0.0080  0.1904
      5   0.1033  0.0588     0.0073  0.1903
      6   0.1144  0.0553     0.0162  0.1917
      7   0.1217  0.0525     0.0242  0.1926
      8   0.1232  0.0513     0.0287  0.1927
      9   0.1239  0.0506     0.0309  0.1928
     10   0.1245  0.0501     0.0329  0.1928
     11   0.1250  0.0497     0.0343  0.1928
     12   0.1258  0.0491     0.0363  0.1929
     13   0.1262  0.0488     0.0372  0.1929
     14   0.1268  0.0484     0.0387  0.1930
     15   0.1270  0.0482     0.0393  0.1930
     16   0.1272  0.0480     0.0400  0.1930
     17   0.1274  0.0478     0.0407  0.1930
     18   0.1312  0.0464     0.0450  0.1935
     19   0.1314  0.0463     0.0455  0.1935

