Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2328  2.0154    -6.4310 -0.3396
      1  -4.7904  1.2535    -6.9195 -3.2548
      2  -3.9431  0.7457    -4.9653 -3.1830
      3  -4.3614  0.5632    -5.0020 -3.9616
      4  -4.0887  0.4787    -4.6036 -3.8130
      5  -4.2398  0.4440    -4.6978 -4.0666
      6  -4.2041  0.3329    -4.4767 -4.0716
      7  -4.2229  0.2454    -4.4763 -4.2223
      8  -4.2231  0.1827    -4.4757 -4.2237
      9  -4.2231  0.1403    -4.4752 -4.2245
     10  -4.3190  0.3418    -4.7384 -4.2277
     11  -4.2968  0.2565    -4.7149 -4.2279
     12  -4.2393  0.2082    -4.6201 -4.2243
     13  -4.2344  0.1587    -4.5937 -4.2247
     14  -4.2353  0.1272    -4.5907 -4.2261
     15  -4.2329  0.1049    -4.5734 -4.2262
     16  -4.2302  0.0894    -4.5485 -4.2263
     17  -4.2309  0.0813    -4.5478 -4.2269
     18  -4.2293  0.0747    -4.5296 -4.2270
     19  -4.2281  0.0703    -4.5119 -4.2270

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0998  0.0594     0.0050  0.1896
      1   0.0986  0.0596     0.0049  0.1894
      2   0.1016  0.0589     0.0061  0.1898
      3   0.1034  0.0585     0.0075  0.1902
      4   0.1039  0.0584     0.0079  0.1903
      5   0.1050  0.0582     0.0086  0.1905
      6   0.1144  0.0553     0.0161  0.1918
      7   0.1221  0.0522     0.0256  0.1927
      8   0.1233  0.0512     0.0292  0.1927
      9   0.1240  0.0505     0.0314  0.1928
     10   0.0645  0.0400     0.0091  0.1399
     11   0.0680  0.0394     0.0134  0.1423
     12   0.0758  0.0413     0.0161  0.1523
     13   0.0773  0.0408     0.0185  0.1530
     14   0.0782  0.0404     0.0204  0.1535
     15   0.0790  0.0401     0.0217  0.1540
     16   0.0801  0.0398     0.0231  0.1545
     17   0.0806  0.0397     0.0239  0.1548
     18   0.0813  0.0394     0.0249  0.1551
     19   0.0818  0.0393     0.0259  0.1554

