Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0761  1.5047    -4.5441 -0.0970
      1  -1.4523  1.4103    -4.8238 -0.7991
      2  -1.8485  1.5620    -6.1765 -1.1155
      3  -2.7269  2.1463    -8.0931 -1.1688
      4  -4.4438  2.5186    -8.9134 -0.9233
      5  -4.3694  2.4448    -8.8726 -1.1782
      6  -3.5314  2.0106    -8.1105 -1.2131
      7  -3.3524  1.8078    -7.5437 -1.3686
      8  -4.2989  1.8809    -8.2894 -1.6887
      9  -4.2501  1.7378    -8.0112 -1.9652
     10  -3.6915  1.3872    -6.3685 -1.9047
     11  -4.2412  1.3948    -7.0868 -2.3700
     12  -4.2108  1.2505    -6.5428 -2.5575
     13  -3.8678  1.0537    -5.4958 -2.4369
     14  -4.1943  0.9915    -5.7539 -2.9503
     15  -4.1795  0.8871    -5.6047 -3.0231
     16  -4.4398  0.8457    -5.8362 -3.4546
     17  -4.2458  0.7240    -5.3967 -3.3497
     18  -4.1141  0.6524    -5.1415 -3.2653
     19  -4.2534  0.5923    -5.2195 -3.5276

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0938  0.0626     0.0001  0.1889
      1   0.0928  0.0631     0.0001  0.1889
      2   0.0839  0.0644     0.0000  0.1873
      3   0.0332  0.0415     0.0000  0.1216
      4   0.0042  0.0051     0.0000  0.0110
      5   0.0056  0.0052     0.0000  0.0122
      6   0.0066  0.0057     0.0000  0.0136
      7   0.0077  0.0055     0.0000  0.0142
      8   0.0059  0.0038     0.0000  0.0092
      9   0.0066  0.0034     0.0000  0.0098
     10   0.0070  0.0034     0.0000  0.0111
     11   0.0066  0.0033     0.0000  0.0097
     12   0.0071  0.0029     0.0001  0.0100
     13   0.0073  0.0030     0.0001  0.0108
     14   0.0074  0.0030     0.0001  0.0110
     15   0.0076  0.0028     0.0002  0.0111
     16   0.0076  0.0028     0.0003  0.0112
     17   0.0079  0.0030     0.0003  0.0119
     18   0.0081  0.0032     0.0004  0.0123
     19   0.0084  0.0034     0.0004  0.0127

