Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.3776  2.2968    -9.0776 -1.9367
      1  -3.4611  1.2452    -5.4127 -1.7384
      2  -2.4310  0.7889    -3.4143 -1.6269
      3  -2.0211  0.6401    -2.6581 -1.5825
      4  -1.7465  0.6021    -2.2373 -1.3966
      5  -1.9037  0.5711    -2.3374 -1.6705
      6  -1.8873  0.4267    -2.3137 -1.7084
      7  -1.8803  0.3252    -2.2997 -1.7489
      8  -2.1275  0.6132    -2.7838 -1.8655
      9  -2.2265  0.5855    -2.8888 -1.9383
     10  -2.5082  0.8353    -3.6632 -2.1117
     11  -2.3718  0.6599    -3.0692 -2.0822
     12  -2.5411  0.7604    -3.4099 -2.1468
     13  -2.4506  0.5921    -3.0571 -2.1450
     14  -2.6753  0.8476    -3.6100 -2.2011
     15  -2.5882  0.6625    -3.2330 -2.2062
     16  -2.5263  0.5290    -3.0821 -2.2024
     17  -2.5325  0.4319    -3.0711 -2.2720
     18  -2.6261  0.4698    -3.1494 -2.3875
     19  -2.5883  0.3755    -3.0901 -2.3860

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0588     0.0067  0.1898
      1   0.1017  0.0587     0.0067  0.1898
      2   0.1016  0.0588     0.0065  0.1898
      3   0.1025  0.0584     0.0077  0.1899
      4   0.1023  0.0588     0.0071  0.1900
      5   0.1036  0.0583     0.0079  0.1902
      6   0.1067  0.0567     0.0130  0.1905
      7   0.1096  0.0553     0.0173  0.1908
      8   0.0516  0.0366     0.0038  0.1214
      9   0.0508  0.0372     0.0036  0.1227
     10   0.0257  0.0183     0.0004  0.0576
     11   0.0295  0.0188     0.0017  0.0616
     12   0.0238  0.0155     0.0006  0.0497
     13   0.0262  0.0156     0.0020  0.0523
     14   0.0177  0.0106     0.0001  0.0338
     15   0.0192  0.0105     0.0009  0.0347
     16   0.0206  0.0104     0.0019  0.0366
     17   0.0218  0.0105     0.0029  0.0380
     18   0.0202  0.0099     0.0021  0.0346
     19   0.0214  0.0098     0.0033  0.0361

