Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4919  2.7760    -8.9854 -0.3828
      1  -4.4094  2.8053    -8.9748 -0.3274
      2  -4.2653  2.8495    -8.9551 -0.2581
      3  -4.0381  2.9029    -8.9205 -0.1990
      4  -3.7356  2.9446    -8.8665 -0.1543
      5  -3.3917  2.9529    -8.7903 -0.1242
      6  -3.0749  2.9237    -8.7003 -0.1063
      7  -5.2033  2.6257    -9.0881 -0.5817
      8  -5.3467  2.5791    -9.1046 -0.6205
      9  -6.4561  2.2111    -8.2836 -1.6645
     10  -6.7271  1.9787    -7.7257 -2.6567
     11  -5.5458  1.9680    -8.7199 -1.5406
     12  -5.6447  1.8363    -8.6642 -2.0418
     13  -4.7167  1.7782    -7.5925 -1.1075
     14  -5.1443  1.4130    -7.5357 -2.8649
     15  -5.1682  1.3011    -7.3366 -3.2298
     16  -4.6505  1.2354    -6.4979 -2.6770
     17  -4.1372  1.2928    -5.9581 -1.7371
     18  -3.5817  1.4483    -5.6122 -0.7971
     19  -3.8481  1.1192    -5.4708 -2.1609

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0004  0.0016     0.0000  0.0001
      1   0.0007  0.0022     0.0000  0.0032
      2   0.0012  0.0028     0.0000  0.0051
      3   0.0020  0.0034     0.0000  0.0061
      4   0.0030  0.0039     0.0000  0.0066
      5   0.0042  0.0041     0.0000  0.0069
      6   0.0054  0.0039     0.0000  0.0078
      7   0.0041  0.0035     0.0000  0.0065
      8   0.0051  0.0032     0.0000  0.0066
      9   0.0053  0.0031     0.0000  0.0066
     10   0.0060  0.0026     0.0000  0.0067
     11   0.0055  0.0029     0.0000  0.0066
     12   0.0062  0.0024     0.0000  0.0067
     13   0.0060  0.0026     0.0000  0.0066
     14   0.0063  0.0023     0.0000  0.0067
     15   0.0066  0.0018     0.0001  0.0067
     16   0.0066  0.0018     0.0001  0.0067
     17   0.0065  0.0019     0.0001  0.0067
     18   0.0064  0.0020     0.0001  0.0066
     19   0.0066  0.0017     0.0001  0.0067

