Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.7191  2.2519    -7.3320 -0.3911
      1  -1.8077  1.2406    -3.6098 -0.1973
      2  -2.6997  0.8283    -3.6859 -1.8832
      3  -3.1072  0.6816    -3.8667 -2.6451
      4  -2.7987  0.5453    -3.3097 -2.4843
      5  -2.6460  0.5245    -3.0722 -2.3889
      6  -2.6774  0.3955    -3.0658 -2.6408
      7  -2.6449  0.2937    -2.8958 -2.6409
      8  -2.6475  1.2771    -5.6968 -1.5633
      9  -2.5186  0.9843    -3.4264 -1.6619
     10  -2.5417  0.7802    -3.1556 -2.0496
     11  -2.4420  0.7546    -2.9903 -1.9308
     12  -2.4495  0.5893    -2.8992 -2.1387
     13  -2.4555  0.4650    -2.8923 -2.2129
     14  -2.4061  0.3883    -2.8460 -2.1961
     15  -2.4776  0.4514    -2.8898 -2.3010
     16  -2.4261  0.3958    -2.8537 -2.2610
     17  -2.4073  0.3033    -2.8309 -2.2709
     18  -2.4846  0.4114    -2.8833 -2.3479
     19  -2.5548  0.4410    -2.8967 -2.3868

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0590     0.0060  0.1897
      1   0.1010  0.0591     0.0057  0.1898
      2   0.1004  0.0593     0.0051  0.1897
      3   0.1009  0.0591     0.0056  0.1897
      4   0.1026  0.0586     0.0070  0.1900
      5   0.1022  0.0588     0.0068  0.1900
      6   0.1133  0.0558     0.0145  0.1916
      7   0.1215  0.0526     0.0233  0.1926
      8   0.0230  0.0197     0.0000  0.0580
      9   0.0246  0.0194     0.0001  0.0591
     10   0.0282  0.0199     0.0003  0.0626
     11   0.0285  0.0200     0.0005  0.0632
     12   0.0314  0.0201     0.0019  0.0662
     13   0.0341  0.0202     0.0038  0.0686
     14   0.0369  0.0210     0.0056  0.0731
     15   0.0324  0.0179     0.0039  0.0620
     16   0.0345  0.0185     0.0053  0.0655
     17   0.0360  0.0183     0.0074  0.0666
     18   0.0294  0.0149     0.0043  0.0533
     19   0.0287  0.0150     0.0037  0.0530

