Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9130  2.5976    -9.0348 -0.8491
      1  -2.6859  1.4397    -4.8587 -0.4703
      2  -3.8558  0.7920    -4.9662 -2.9651
      3  -4.3688  0.6037    -5.0712 -3.9219
      4  -4.6587  0.5782    -5.2861 -4.3414
      5  -4.8365  0.6237    -5.7093 -4.5661
      6  -4.7275  0.3525    -5.0036 -4.5614
      7  -4.7304  0.2778    -5.0023 -4.5807
      8  -4.7142  0.1924    -4.9938 -4.5801
      9  -4.7162  0.1534    -4.9934 -4.5906
     10  -4.8535  0.6735    -5.7387 -4.5127
     11  -5.1202  1.0806    -7.0696 -4.2120
     12  -5.0308  0.8292    -6.1952 -4.5067
     13  -4.9792  0.6464    -5.7837 -4.5597
     14  -4.9443  0.5139    -5.5987 -4.5848
     15  -4.9102  0.4202    -5.4817 -4.5890
     16  -4.9440  0.3521    -5.4848 -4.7390
     17  -5.0664  0.5151    -5.7340 -4.7579
     18  -5.0388  0.4200    -5.6141 -4.7612
     19  -5.0170  0.3482    -5.5189 -4.7619

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1031  0.0585     0.0073  0.1901
      1   0.1047  0.0581     0.0081  0.1904
      2   0.1026  0.0586     0.0070  0.1900
      3   0.1016  0.0589     0.0063  0.1898
      4   0.1008  0.0595     0.0050  0.1898
      5   0.0985  0.0604     0.0039  0.1896
      6   0.1120  0.0561     0.0130  0.1914
      7   0.1139  0.0549     0.0173  0.1915
      8   0.1197  0.0522     0.0259  0.1922
      9   0.1207  0.0514     0.0287  0.1923
     10   0.0306  0.0225     0.0004  0.0706
     11   0.0147  0.0116     0.0000  0.0338
     12   0.0167  0.0118     0.0001  0.0359
     13   0.0185  0.0118     0.0003  0.0378
     14   0.0200  0.0118     0.0011  0.0393
     15   0.0216  0.0120     0.0019  0.0408
     16   0.0231  0.0123     0.0028  0.0429
     17   0.0165  0.0087     0.0009  0.0293
     18   0.0176  0.0087     0.0014  0.0307
     19   0.0186  0.0087     0.0021  0.0317

