Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4887  2.0196    -6.8913 -0.0851
      1  -2.0411  1.9232    -7.1529 -0.6340
      2  -2.5034  1.8439    -7.3391 -1.0672
      3  -3.1695  1.8710    -7.8565 -1.3334
      4  -2.9258  1.5646    -6.7985 -1.4836
      5  -3.5403  1.6307    -7.5018 -1.7599
      6  -3.3838  1.3681    -6.3795 -1.9573
      7  -4.0485  1.5093    -7.4265 -2.2172
      8  -3.9944  1.3345    -6.8284 -2.4838
      9  -4.7898  1.6208    -8.0981 -2.5069
     10  -4.8007  1.4815    -7.8648 -2.9271
     11  -5.5831  1.6206    -8.5998 -3.2072
     12  -5.1520  1.3069    -7.4517 -3.3260
     13  -4.8347  1.1229    -6.6292 -3.3036
     14  -4.8426  1.0028    -6.4860 -3.4724
     15  -5.1637  0.9431    -6.7167 -3.9717
     16  -5.4591  0.9289    -6.9977 -4.3614
     17  -5.2290  0.8202    -6.5062 -4.2543
     18  -4.9998  0.7982    -6.1851 -4.0458
     19  -5.0071  0.7037    -6.1300 -4.1141

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0688  0.0626     0.0000  0.1819
      1   0.0495  0.0527     0.0000  0.1605
      2   0.0326  0.0383     0.0000  0.1128
      3   0.0155  0.0182     0.0000  0.0483
      4   0.0180  0.0184     0.0000  0.0513
      5   0.0107  0.0098     0.0000  0.0265
      6   0.0119  0.0097     0.0000  0.0273
      7   0.0078  0.0056     0.0000  0.0148
      8   0.0086  0.0053     0.0000  0.0155
      9   0.0063  0.0034     0.0000  0.0088
     10   0.0068  0.0030     0.0000  0.0093
     11   0.0063  0.0027     0.0000  0.0068
     12   0.0065  0.0026     0.0000  0.0069
     13   0.0067  0.0025     0.0001  0.0070
     14   0.0070  0.0022     0.0001  0.0070
     15   0.0071  0.0022     0.0001  0.0075
     16   0.0071  0.0022     0.0001  0.0072
     17   0.0072  0.0023     0.0002  0.0084
     18   0.0071  0.0022     0.0001  0.0077
     19   0.0072  0.0020     0.0003  0.0079

