trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  339 190.00  0.00 800.00 156.00  0
  1  654 370.00  0.00 800.00  6.44  1
  2  694 390.00  0.00 800.00 17.20  1
  3  732 410.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  0
  5  676 380.00  0.00 800.00 17.20  1
  6  713 400.00  0.00 800.00 21.50  0
  7  676 370.00  0.00 800.00 21.50  1
  8  713 380.00  0.00 800.00 26.00  1
  9  715 400.00  0.00 800.00 52.00  0
 10  695 390.00  0.00 800.00 21.50  0
 11 1002 560.00  0.00 800.00 26.00  0
 12  713 400.00  0.00 800.00 21.50  0
 13  693 390.00  0.00 800.00 12.90  0
 14 1420 790.00  0.00 800.00 260.00  0
 15 1420 780.00  0.00 800.00 520.00  0
 16  620 350.00  0.00 800.00 10.80  0
 17 1421 790.00  0.00 800.00 520.00  0
 18 1421 790.00  0.00 800.00 260.00  0
 19  565 320.00  0.00 800.00  8.60  0
