trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  684 390.00  0.00 800.00  0.43  1
  1  788 440.00  0.00 800.00 104.00  1
  2  953 530.00  0.00 800.00 520.00  1
  3 1223 680.00  0.00 800.00 520.00  1
  4 1295 720.00  0.00 800.00 520.00  0
  5 1277 710.00  0.00 800.00 520.00  0
  6 1223 680.00  0.00 800.00 520.00  1
  7 1277 710.00  0.00 800.00 260.00  1
  8 1277 700.00  0.00 800.00 260.00  0
  9 1061 590.00  0.00 800.00 520.00  1
 10 1331 740.00  0.00 800.00 520.00  0
 11 1133 630.00  0.00 800.00 520.00  0
 12   14  10.00  0.00 800.00 104.00  1
 13  953 530.00  0.00 800.00 520.00  1
 14 1367 760.00  0.00 800.00 520.00  0
 15 1331 740.00  0.00 800.00 520.00  0
 16 1079 600.00  0.00 800.00 520.00  1
 17 1313 730.00  0.00 800.00 520.00  0
 18 1133 630.00  0.00 800.00 520.00  1
 19 1151 640.00  0.00 800.00 520.00  0
