Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3112  1.7895    -9.1728 -3.7393
      1  -4.9175  1.0383    -6.5027 -3.5762
      2  -4.1422  0.7007    -5.0125 -3.4708
      3  -3.7354  0.6185    -4.3809 -3.3477
      4  -3.5586  0.5816    -4.0487 -3.1848
      5  -3.7065  0.4614    -4.1260 -3.5371
      6  -3.9153  0.8823    -4.9688 -3.3979
      7  -3.7982  0.9258    -4.8862 -3.1534
      8  -3.8609  1.8737    -8.2422 -1.0266
      9  -4.5196  2.7203    -8.9763 -0.4695
     10  -4.5675  2.7317    -8.9914 -0.4737
     11  -4.5291  2.7356    -8.9841 -0.4627
     12  -4.5701  2.7364    -8.9938 -0.4714
     13  -4.6106  2.7381    -9.0038 -0.4797
     14  -4.5704  2.7401    -8.9957 -0.4697
     15  -4.5298  2.7378    -8.9853 -0.4617
     16  -4.4894  2.7350    -8.9745 -0.4540
     17  -4.4491  2.7318    -8.9634 -0.4465
     18  -4.4894  2.7349    -8.9745 -0.4540
     19  -4.4491  2.7317    -8.9634 -0.4465

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0592     0.0051  0.1898
      1   0.1009  0.0593     0.0049  0.1898
      2   0.1008  0.0593     0.0048  0.1898
      3   0.1001  0.0598     0.0039  0.1898
      4   0.1026  0.0598     0.0045  0.1904
      5   0.1081  0.0577     0.0084  0.1910
      6   0.0483  0.0391     0.0001  0.1220
      7   0.0474  0.0391     0.0001  0.1209
      8   0.0088  0.0106     0.0000  0.0268
      9   0.0002  0.0006     0.0000  0.0001
     10   0.0001  0.0001     0.0000  0.0001
     11   0.0001  0.0000     0.0000  0.0001
     12   0.0001  0.0000     0.0000  0.0001
     13   0.0001  0.0000     0.0000  0.0001
     14   0.0001  0.0000     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

