trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  765 430.00  0.00 800.00 12.90  0
  1  742 420.00  0.00 800.00  3.00  1
  2  744 420.00  0.00 800.00  6.44  0
  3  707 400.00  0.00 800.00  4.30  1
  4  654 370.00  0.00 800.00  6.44  1
  5  762 430.00  0.00 800.00  6.44  1
  6  640 360.00  0.00 800.00 17.20  0
  7  744 420.00  0.00 800.00  6.44  1
  8  710 400.00  0.00 800.00 10.80  0
  9  726 410.00  0.00 800.00  6.44  1
 10  692 390.00  0.00 800.00 10.80  0
 11  726 420.00  0.00 800.00  8.60  0
 12  726 410.00  0.00 800.00  4.30  1
 13  637 360.00  0.00 800.00  8.60  0
 14  744 420.00  0.00 800.00  6.44  1
 15  726 410.00  0.00 800.00  6.44  1
 16  619 350.00  0.00 800.00  8.60  0
 17  744 420.00  0.00 800.00  6.44  1
 18  708 400.00  0.00 800.00  6.44  1
 19  690 390.00  0.00 800.00  6.44  1
