Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3426  3.0310    -8.8017 -0.0792
      1  -2.6358  2.9433    -8.5830 -0.0574
      2  -1.9278  2.6803    -8.1655 -0.0459
      3  -1.3335  2.2791    -7.3475 -0.0397
      4  -2.6480  2.6140    -8.3580 -0.1690
      5  -2.1330  2.3255    -7.7480 -0.1451
      6  -1.7369  1.9916    -6.6407 -0.1310
      7  -3.2599  2.2595    -8.1006 -0.4390
      8  -2.9719  2.0385    -7.3261 -0.4313
      9  -2.7640  1.8392    -6.3472 -0.4256
     10  -3.6422  1.6658    -6.7772 -1.1570
     11  -2.9801  1.5881    -6.1952 -0.8413
     12  -2.8665  1.4047    -5.3493 -0.8792
     13  -3.3354  1.2551    -5.5824 -1.6667
     14  -2.9347  1.1564    -4.7778 -1.4135
     15  -2.8820  1.0223    -4.5059 -1.4623
     16  -3.2123  0.9390    -4.7703 -2.0500
     17  -2.9454  0.8656    -4.2313 -1.8667
     18  -2.7353  0.8241    -3.8948 -1.6709
     19  -2.4808  0.8890    -3.6350 -1.3456

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0114  0.0272     0.0000  0.0674
      1   0.0174  0.0322     0.0000  0.0869
      2   0.0236  0.0356     0.0000  0.1003
      3   0.0289  0.0374     0.0000  0.1088
      4   0.0056  0.0064     0.0000  0.0144
      5   0.0071  0.0065     0.0000  0.0165
      6   0.0083  0.0063     0.0000  0.0176
      7   0.0048  0.0036     0.0000  0.0068
      8   0.0057  0.0033     0.0000  0.0069
      9   0.0064  0.0028     0.0000  0.0069
     10   0.0062  0.0028     0.0000  0.0068
     11   0.0062  0.0028     0.0000  0.0068
     12   0.0067  0.0023     0.0001  0.0069
     13   0.0067  0.0023     0.0001  0.0069
     14   0.0068  0.0024     0.0001  0.0069
     15   0.0070  0.0020     0.0002  0.0070
     16   0.0071  0.0021     0.0002  0.0070
     17   0.0072  0.0022     0.0002  0.0077
     18   0.0072  0.0022     0.0002  0.0082
     19   0.0070  0.0019     0.0002  0.0069

