Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.9434  2.9380    -8.9087 -0.1578
      1  -3.4732  2.9707    -8.8039 -0.1109
      2  -2.8680  2.9110    -8.6073 -0.0812
      3  -2.2098  2.7005    -8.2314 -0.0637
      4  -1.6199  2.3516    -7.5179 -0.0540
      5  -1.1112  1.9007    -6.1694 -0.0477
      6  -0.7242  1.5647    -4.5038 -0.0399
      7  -1.5477  2.1136    -7.1896 -0.0966
      8  -1.1825  1.7037    -5.5722 -0.0886
      9  -0.9603  1.3515    -3.4236 -0.0844
     10  -0.7418  1.0982    -2.0860 -0.0731
     11  -1.0886  1.3046    -3.2444 -0.1414
     12  -0.9672  1.0386    -2.3646 -0.1382
     13  -1.3857  1.2685    -3.5478 -0.2992
     14  -1.2794  1.0402    -2.8700 -0.2970
     15  -1.6942  1.1864    -3.7650 -0.5568
     16  -2.2127  1.3507    -4.9302 -0.8721
     17  -2.1163  1.1687    -4.3243 -0.8854
     18  -2.6109  1.2464    -5.0520 -1.2455
     19  -2.2628  1.0386    -3.9490 -1.1484

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0027  0.0080     0.0000  0.0133
      1   0.0045  0.0100     0.0000  0.0205
      2   0.0068  0.0118     0.0000  0.0269
      3   0.0094  0.0129     0.0000  0.0321
      4   0.0117  0.0136     0.0000  0.0352
      5   0.0136  0.0139     0.0000  0.0382
      6   0.0163  0.0150     0.0000  0.0427
      7   0.0072  0.0055     0.0000  0.0137
      8   0.0081  0.0052     0.0000  0.0144
      9   0.0087  0.0049     0.0001  0.0149
     10   0.0093  0.0051     0.0001  0.0166
     11   0.0080  0.0041     0.0001  0.0130
     12   0.0083  0.0039     0.0002  0.0131
     13   0.0073  0.0031     0.0001  0.0109
     14   0.0076  0.0029     0.0002  0.0111
     15   0.0071  0.0025     0.0001  0.0083
     16   0.0066  0.0023     0.0001  0.0068
     17   0.0069  0.0019     0.0001  0.0068
     18   0.0067  0.0018     0.0001  0.0067
     19   0.0068  0.0017     0.0001  0.0067

