trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  191 110.00  0.00 800.00 21.50  1
  1  735 410.00  0.00 800.00 156.00  0
  2  732 410.00  0.00 800.00 26.00  0
  3  745 420.00  0.00 800.00  8.60  1
  4  783 440.00  0.00 800.00 12.90  0
  5  693 390.00  0.00 800.00 12.90  1
  6  694 390.00  0.00 800.00 17.20  0
  7  746 420.00  0.00 800.00 10.80  1
  8  694 380.00  0.00 800.00 12.90  0
  9  746 440.00  0.00 800.00  8.60  1
 10  675 380.00  0.00 800.00 12.90  1
 11  748 420.00  0.00 800.00 17.20  0
 12  675 370.00  0.00 800.00 17.20  0
 13  675 360.00  0.00 800.00 10.80  1
 14  675 380.00  0.00 800.00 17.20  0
 15  746 420.00  0.00 800.00 10.80  1
 16  675 390.00  0.00 800.00 10.80  1
 17  675 370.00  0.00 800.00 17.20  0
 18  746 420.00  0.00 800.00 10.80  1
 19  746 440.00  0.00 800.00  8.60  1
