Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6078  1.4826    -4.3009 -0.1610
      1  -2.4505  1.3712    -5.9205 -1.5936
      2  -2.8192  1.4195    -6.7384 -2.1109
      3  -3.5444  1.8021    -8.1792 -2.4300
      4  -5.3329  2.1318    -9.0329 -2.7089
      5  -3.9729  1.3899    -6.9262 -2.5876
      6  -3.4180  1.0976    -5.4817 -2.4755
      7  -3.1710  0.9455    -4.4740 -2.4288
      8  -2.9946  0.9166    -4.0004 -2.3026
      9  -3.0612  0.7869    -3.8796 -2.6191
     10  -2.9755  0.6336    -3.5224 -2.6310
     11  -3.1925  0.9052    -4.1877 -2.6502
     12  -3.1182  0.7004    -3.6813 -2.6806
     13  -3.1702  0.6148    -3.6828 -2.8813
     14  -3.1918  0.5110    -3.6749 -2.9395
     15  -3.1527  0.4022    -3.5930 -2.9391
     16  -3.1743  0.3322    -3.5983 -2.9903
     17  -3.1741  0.2602    -3.5882 -3.0169
     18  -3.1551  0.2061    -3.4842 -3.0093
     19  -3.1755  0.1793    -3.5245 -3.1589

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0959  0.0615     0.0001  0.1892
      1   0.0926  0.0627     0.0001  0.1889
      2   0.0913  0.0632     0.0001  0.1888
      3   0.0718  0.0642     0.0001  0.1852
      4   0.0140  0.0133     0.0000  0.0360
      5   0.0179  0.0164     0.0000  0.0468
      6   0.0227  0.0191     0.0001  0.0566
      7   0.0267  0.0209     0.0001  0.0638
      8   0.0275  0.0211     0.0001  0.0648
      9   0.0309  0.0224     0.0001  0.0704
     10   0.0345  0.0229     0.0016  0.0746
     11   0.0239  0.0171     0.0001  0.0529
     12   0.0260  0.0169     0.0005  0.0545
     13   0.0286  0.0179     0.0013  0.0592
     14   0.0312  0.0186     0.0027  0.0624
     15   0.0337  0.0186     0.0052  0.0653
     16   0.0362  0.0192     0.0073  0.0684
     17   0.0375  0.0190     0.0084  0.0692
     18   0.0397  0.0190     0.0101  0.0717
     19   0.0420  0.0198     0.0111  0.0752

