Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3180  1.7858    -9.1736 -3.7447
      1  -4.7953  0.9760    -6.2572 -3.5552
      2  -4.1297  0.6851    -4.9862 -3.4635
      3  -3.7391  0.6015    -4.3701 -3.3098
      4  -3.9797  0.5762    -4.4986 -3.7183
      5  -3.9844  0.4316    -4.4606 -3.7755
      6  -3.9832  0.3354    -4.4473 -3.8033
      7  -3.9846  0.2709    -4.4390 -3.8354
      8  -3.9734  0.2079    -4.4131 -3.8369
      9  -3.9671  0.1711    -4.3946 -3.8375
     10  -3.9632  0.1492    -4.3809 -3.8377
     11  -3.9617  0.1379    -4.3752 -3.8380
     12  -3.9608  0.1316    -4.3715 -3.8383
     13  -3.9622  0.1269    -4.3714 -3.8469
     14  -3.9629  0.1244    -4.3713 -3.8522
     15  -3.9639  0.1222    -4.3712 -3.8604
     16  -3.9645  0.1210    -4.3711 -3.8654
     17  -3.8410  0.2063    -4.3694 -3.7074
     18  -3.9613  0.2109    -4.4514 -3.7471
     19  -4.0878  0.2285    -4.6035 -3.9220

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0590     0.0056  0.1898
      1   0.1012  0.0592     0.0049  0.1898
      2   0.1020  0.0591     0.0052  0.1900
      3   0.1006  0.0595     0.0043  0.1898
      4   0.0980  0.0593     0.0033  0.1890
      5   0.1023  0.0573     0.0096  0.1895
      6   0.1048  0.0560     0.0141  0.1898
      7   0.1075  0.0548     0.0176  0.1901
      8   0.1090  0.0539     0.0210  0.1903
      9   0.1101  0.0532     0.0232  0.1904
     10   0.1111  0.0527     0.0250  0.1905
     11   0.1115  0.0524     0.0259  0.1905
     12   0.1118  0.0523     0.0266  0.1905
     13   0.1124  0.0519     0.0278  0.1906
     14   0.1129  0.0517     0.0286  0.1907
     15   0.1135  0.0514     0.0295  0.1907
     16   0.1139  0.0511     0.0302  0.1908
     17   0.0384  0.0196     0.0101  0.0726
     18   0.0315  0.0146     0.0088  0.0557
     19   0.0255  0.0109     0.0076  0.0422

