trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1150 640.00  0.00 800.00 260.00  0
  1  732 410.00  0.00 800.00 26.00  1
  2  753 420.00  0.00 800.00 156.00  0
  3  608 340.00  0.00 800.00 104.00  1
  4  645 360.00  0.00 800.00 156.00  1
  5  645 350.00  0.00 800.00 260.00  1
  6  790 440.00  0.00 800.00 260.00  0
  7  718 400.00  0.00 800.00 260.00  0
  8  717 400.00  0.00 800.00 156.00  1
  9  700 390.00  0.00 800.00 260.00  0
 10  717 400.00  0.00 800.00 104.00  0
 11    5  10.00  0.00 800.00  4.30  1
 12    4  10.00  0.00 800.00  3.00  1
 13  554 310.00  0.00 800.00 104.00  1
 14  644 360.00  0.00 800.00 104.00  1
 15  772 430.00  0.00 800.00 260.00  0
 16  591 330.00  0.00 800.00 156.00  1
 17  771 430.00  0.00 800.00 156.00  1
 18  772 430.00  0.00 800.00 260.00  0
 19  645 360.00  0.00 800.00 156.00  1
