Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6385  2.7182    -9.0033 -0.5169
      1  -2.4453  1.5105    -4.8223 -0.2826
      2  -1.2836  0.9503    -2.5864 -0.1532
      3  -1.9102  0.6736    -2.6497 -1.3495
      4  -2.3136  0.6099    -2.8944 -1.9683
      5  -2.1434  0.5532    -2.5799 -1.8804
      6  -2.0914  0.4257    -2.3706 -1.8762
      7  -2.0735  0.3239    -2.3649 -1.8803
      8  -2.0651  0.2562    -2.3622 -1.8836
      9  -2.0494  0.2362    -2.3604 -1.8660
     10  -2.0482  0.2042    -2.3600 -1.8689
     11  -2.0481  0.1849    -2.3598 -1.8715
     12  -2.0686  0.1294    -2.3604 -1.9192
     13  -2.0739  0.1092    -2.3606 -1.9344
     14  -2.0731  0.1053    -2.3605 -1.9330
     15  -2.0732  0.1026    -2.3605 -1.9335
     16  -2.0754  0.0964    -2.3606 -1.9402
     17  -2.0747  0.0964    -2.3605 -1.9386
     18  -2.0774  0.0916    -2.3607 -1.9464
     19  -2.0781  0.0902    -2.3607 -1.9487

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0072  0.1899
      1   0.1030  0.0583     0.0079  0.1900
      2   0.1040  0.0578     0.0092  0.1901
      3   0.1026  0.0583     0.0081  0.1899
      4   0.1000  0.0591     0.0058  0.1895
      5   0.1009  0.0583     0.0074  0.1895
      6   0.1095  0.0565     0.0127  0.1910
      7   0.1133  0.0548     0.0175  0.1914
      8   0.1166  0.0534     0.0216  0.1918
      9   0.1188  0.0537     0.0222  0.1925
     10   0.1204  0.0529     0.0245  0.1926
     11   0.1216  0.0522     0.0265  0.1928
     12   0.1258  0.0495     0.0358  0.1931
     13   0.1272  0.0484     0.0395  0.1932
     14   0.1292  0.0477     0.0418  0.1934
     15   0.1299  0.0473     0.0430  0.1935
     16   0.1306  0.0467     0.0449  0.1936
     17   0.1322  0.0462     0.0466  0.1938
     18   0.1331  0.0455     0.0490  0.1938
     19   0.1334  0.0453     0.0498  0.1938

