trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   79  50.00  0.00 800.00  8.60  0
  1 1418 790.00  0.00 800.00 104.00  0
  2 1419 790.00  0.00 800.00 156.00  0
  3 1418 790.00  0.00 800.00 104.00  0
  4 1417 790.00  0.00 800.00 52.00  0
  5  723 410.00  0.00 800.00  2.00  1
  6 1418 790.00  0.00 800.00 104.00  0
  7  797 450.00  0.00 800.00  4.30  1
  8 1421 790.00  0.00 800.00 520.00  0
  9  837 470.00  0.00 800.00 12.90  0
 10  762 430.00  0.00 800.00  6.44  0
 11  689 390.00  0.00 800.00  4.30  1
 12 1421 790.00  0.00 800.00 520.00  0
 13  726 410.00  0.00 800.00  6.44  1
 14  853 480.00  0.00 800.00  8.60  0
 15  599 340.00  0.00 800.00  4.30  1
 16  853 470.00  0.00 800.00  6.44  1
 17  818 460.00  0.00 800.00 10.80  0
 18  871 490.00  0.00 800.00  8.60  0
 19  528 300.00  0.00 800.00  6.44  1
