trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1030 580.00  0.00 800.00  3.00  1
  1  664 370.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  695 390.00  0.00 800.00 21.50  1
  4  732 410.00  0.00 800.00 26.00  0
  5  766 430.00  0.00 800.00 17.20  0
  6  747 420.00  0.00 800.00 12.90  1
  7  784 440.00  0.00 800.00 17.20  0
  8  802 450.00  0.00 800.00 17.20  0
  9  747 420.00  0.00 800.00 12.90  1
 10  731 410.00  0.00 800.00 21.50  0
 11  658 370.00  0.00 800.00 17.20  0
 12  747 420.00  0.00 800.00 12.90  1
 13  640 360.00  0.00 800.00 17.20  0
 14  566 320.00  0.00 800.00 10.80  1
 15  602 340.00  0.00 800.00 10.80  1
 16  676 380.00  0.00 800.00 17.20  0
 17  638 360.00  0.00 800.00 10.80  1
 18  712 400.00  0.00 800.00 17.20  0
 19  730 410.00  0.00 800.00 17.20  0
