  0 1030 580.00  0.00 800.00  3.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  695 390.00  0.00 800.00 21.50  0
  4  693 390.00  0.00 800.00 12.90  1
  5  783 440.00  0.00 800.00 12.90  1
  6  713 400.00  0.00 800.00 21.50  0
  7  676 380.00  0.00 800.00 17.20  1
  8  713 380.00  0.00 800.00 17.20  0
  9  676 390.00  0.00 800.00 21.50  0
 10  676 360.00  0.00 800.00 12.90  1
 11  676 380.00  0.00 800.00 12.90  1
 12  676 400.00  0.00 800.00 12.90  0
 13  712 400.00  0.00 800.00 17.20  0
 14  730 410.00  0.00 800.00 17.20  0
 15  730 420.00  0.00 800.00 21.50  0
 16  730 410.00  0.00 800.00 12.90  0
 17  639 360.00  0.00 800.00 12.90  0
 18  584 330.00  0.00 800.00 10.80  1
 19  638 360.00  0.00 800.00 10.80  1
