Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.1466  2.4275    -9.0543 -1.4944
      1  -2.9627  1.2403    -4.8802 -1.2593
      2  -2.0553  0.8263    -3.1296 -1.1462
      3  -2.5479  0.6220    -3.2124 -2.1121
      4  -2.2740  0.5567    -2.7820 -1.9455
      5  -2.4344  0.5318    -2.8736 -2.2208
      6  -2.7296  0.9142    -3.8975 -2.3072
      7  -2.6089  0.9771    -3.7764 -2.1578
      8  -2.5002  0.8352    -3.0321 -2.1513
      9  -2.7883  1.2750    -6.0397 -2.0567
     10  -2.6535  0.9666    -3.7453 -2.1523
     11  -2.5618  0.9493    -3.4200 -2.0832
     12  -2.4810  0.7184    -2.9062 -2.1295
     13  -2.4705  0.5553    -2.8881 -2.2391
     14  -2.4209  0.4599    -2.8430 -2.2286
     15  -2.4559  0.4517    -2.8691 -2.3765
     16  -2.4312  0.3428    -2.8479 -2.3778
     17  -2.4174  0.2620    -2.8330 -2.3788
     18  -2.3897  0.2154    -2.7494 -2.3777
     19  -2.4380  0.3027    -2.8533 -2.3800

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0587     0.0069  0.1899
      1   0.1022  0.0588     0.0067  0.1899
      2   0.1028  0.0586     0.0075  0.1901
      3   0.1023  0.0585     0.0075  0.1899
      4   0.1024  0.0581     0.0082  0.1898
      5   0.1035  0.0582     0.0083  0.1901
      6   0.0497  0.0399     0.0001  0.1265
      7   0.0478  0.0383     0.0001  0.1202
      8   0.0553  0.0404     0.0001  0.1304
      9   0.0285  0.0236     0.0000  0.0696
     10   0.0306  0.0231     0.0001  0.0711
     11   0.0312  0.0231     0.0001  0.0716
     12   0.0337  0.0228     0.0008  0.0733
     13   0.0367  0.0226     0.0028  0.0754
     14   0.0400  0.0233     0.0047  0.0798
     15   0.0401  0.0228     0.0052  0.0790
     16   0.0421  0.0225     0.0078  0.0805
     17   0.0436  0.0223     0.0094  0.0814
     18   0.0464  0.0230     0.0108  0.0854
     19   0.0372  0.0180     0.0081  0.0668

