Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.8215  1.3043    -4.7045 -6.3957
      1  -7.0931  1.1431    -8.2327 -5.6053
      2  -6.7309  1.1168    -7.5987 -4.9403
      3  -6.5235  1.1214    -7.3250 -4.5255
      4  -5.9460  1.4980    -7.2606 -2.2943
      5  -5.2463  1.7682    -7.4336 -1.2989
      6  -4.1418  2.2171    -8.2855 -0.5538
      7  -4.0662  2.0553    -7.7064 -0.5953
      8  -4.0118  1.9158    -6.8851 -0.6396
      9  -2.9056  2.0899    -7.3091 -0.2963
     10  -2.6921  1.8961    -6.2269 -0.2826
     11  -1.9024  1.7583    -5.7930 -0.1699
     12  -1.7198  1.5172    -4.6795 -0.1627
     13  -1.2514  1.3085    -3.4176 -0.1151
     14  -1.7062  1.3546    -4.0979 -0.2875
     15  -2.0804  1.3068    -4.4518 -0.6321
     16  -2.5401  1.3315    -5.1398 -1.0938
     17  -2.4463  1.1478    -4.5249 -1.1208
     18  -2.1391  1.0139    -3.6504 -0.9740
     19  -2.4365  0.9981    -3.9991 -1.3649

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0988  0.0608     0.0001  0.1896
      1   0.0942  0.0622     0.0001  0.1890
      2   0.0919  0.0635     0.0001  0.1890
      3   0.0857  0.0634     0.0001  0.1877
      4   0.0358  0.0393     0.0000  0.1172
      5   0.0122  0.0128     0.0000  0.0343
      6   0.0043  0.0041     0.0000  0.0070
      7   0.0054  0.0039     0.0000  0.0085
      8   0.0063  0.0036     0.0000  0.0094
      9   0.0054  0.0031     0.0000  0.0067
     10   0.0061  0.0026     0.0000  0.0067
     11   0.0061  0.0026     0.0000  0.0067
     12   0.0066  0.0020     0.0001  0.0067
     13   0.0067  0.0019     0.0001  0.0067
     14   0.0066  0.0020     0.0001  0.0067
     15   0.0066  0.0021     0.0001  0.0067
     16   0.0064  0.0022     0.0001  0.0067
     17   0.0067  0.0018     0.0001  0.0067
     18   0.0068  0.0017     0.0001  0.0067
     19   0.0068  0.0017     0.0001  0.0067

