Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.2301  2.3840    -9.0630 -1.6529
      1  -3.1871  1.2791    -5.1580 -1.4280
      2  -4.2482  0.7640    -5.2568 -3.4623
      3  -3.8270  0.5673    -4.4778 -3.4133
      4  -3.5481  0.5159    -4.0575 -3.2162
      5  -3.7118  0.4588    -4.1654 -3.5100
      6  -3.6745  0.3505    -3.9493 -3.5131
      7  -3.5156  0.7175    -4.0326 -2.9809
      8  -3.4201  0.6704    -3.9140 -2.8734
      9  -3.4621  0.4953    -3.8989 -3.2644
     10  -3.4275  0.3978    -3.7664 -3.2733
     11  -3.3256  0.8248    -3.8931 -2.5269
     12  -3.1409  1.2941    -6.0955 -1.5959
     13  -3.0370  1.0304    -3.9993 -1.7775
     14  -2.7727  1.5032    -6.4717 -0.9427
     15  -4.3006  2.7096    -8.9242 -0.4416
     16  -4.1982  2.6799    -8.8902 -0.4471
     17  -4.0500  2.6262    -8.8348 -0.4626
     18  -3.8384  2.5295    -8.7372 -0.4957
     19  -3.5610  2.3651    -8.5564 -0.5562

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0589     0.0063  0.1898
      1   0.1010  0.0590     0.0061  0.1897
      2   0.1008  0.0592     0.0054  0.1897
      3   0.1024  0.0587     0.0069  0.1900
      4   0.1024  0.0591     0.0063  0.1901
      5   0.1043  0.0585     0.0076  0.1904
      6   0.1137  0.0557     0.0146  0.1917
      7   0.0544  0.0414     0.0001  0.1330
      8   0.0579  0.0437     0.0009  0.1415
      9   0.0657  0.0432     0.0045  0.1470
     10   0.0724  0.0438     0.0077  0.1530
     11   0.0297  0.0225     0.0001  0.0693
     12   0.0126  0.0101     0.0000  0.0287
     13   0.0137  0.0098     0.0001  0.0295
     14   0.0073  0.0047     0.0000  0.0129
     15   0.0004  0.0013     0.0000  0.0001
     16   0.0006  0.0018     0.0000  0.0023
     17   0.0010  0.0024     0.0000  0.0044
     18   0.0017  0.0029     0.0000  0.0055
     19   0.0026  0.0033     0.0000  0.0061

