trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  248 140.00  0.00 800.00 104.00  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  1
  3  664 370.00  0.00 800.00 260.00  1
  4  593 330.00  0.00 800.00 520.00  0
  5  754 420.00  0.00 800.00 260.00  0
  6  646 360.00  0.00 800.00 260.00  0
  7  717 400.00  0.00 800.00 156.00  0
  8  733 410.00  0.00 800.00 52.00  0
  9    0  10.00  0.00 800.00  0.43  1
 10    0  20.00  0.00 800.00  0.71  1
 11  660 370.00  0.00 800.00 26.00  1
 12    0  20.00  0.00 800.00  0.71  1
 13  661 370.00  0.00 800.00 52.00  1
 14  626 350.00  0.00 800.00 104.00  0
 15  589 330.00  0.00 800.00 52.00  1
 16  661 370.00  0.00 800.00 52.00  1
 17  788 440.00  0.00 800.00 104.00  0
 18  806 450.00  0.00 800.00 104.00  0
 19  607 340.00  0.00 800.00 52.00  1
