Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.8675  1.5208    -8.4851 -4.8151
      1  -5.7416  0.9441    -7.0704 -4.6781
      2  -5.0737  0.7012    -5.8342 -4.4909
      3  -4.7927  0.6371    -5.4146 -4.2664
      4  -4.6118  0.6361    -5.1352 -3.9942
      5  -4.7330  0.4624    -5.1580 -4.5880
      6  -4.7162  0.3585    -4.9983 -4.6138
      7  -4.7280  0.2514    -4.9975 -4.6850
      8  -4.7923  0.7988    -5.4783 -4.2787
      9  -4.8973  0.9109    -5.7913 -4.1643
     10  -4.9260  0.6932    -5.5264 -4.6437
     11  -4.9877  0.6213    -5.5475 -4.7691
     12  -4.9712  0.4722    -5.4014 -4.7846
     13  -4.9996  0.3820    -5.3933 -4.8651
     14  -4.9892  0.2898    -5.2650 -4.8730
     15  -4.9853  0.2193    -5.2600 -4.8804
     16  -4.9890  0.1669    -5.2595 -4.9040
     17  -4.9863  0.1323    -5.2567 -4.9048
     18  -4.9845  0.1097    -5.2550 -4.9031
     19  -4.9862  0.0927    -5.2549 -4.9163

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0592     0.0042  0.1898
      1   0.1004  0.0595     0.0037  0.1896
      2   0.0996  0.0598     0.0026  0.1895
      3   0.0983  0.0599     0.0027  0.1892
      4   0.0964  0.0607     0.0024  0.1890
      5   0.1111  0.0578     0.0080  0.1916
      6   0.1195  0.0547     0.0160  0.1926
      7   0.1219  0.0528     0.0236  0.1927
      8   0.0430  0.0328     0.0001  0.1023
      9   0.0360  0.0285     0.0000  0.0867
     10   0.0394  0.0280     0.0001  0.0890
     11   0.0431  0.0299     0.0005  0.0963
     12   0.0470  0.0295     0.0040  0.0993
     13   0.0515  0.0303     0.0072  0.1045
     14   0.0549  0.0299     0.0105  0.1072
     15   0.0572  0.0294     0.0140  0.1087
     16   0.0581  0.0291     0.0155  0.1092
     17   0.0600  0.0289     0.0175  0.1107
     18   0.0621  0.0288     0.0198  0.1127
     19   0.0625  0.0286     0.0209  0.1130

