trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1128 630.00  0.00 800.00 26.00  1
  1  971 540.00  0.00 800.00 520.00  0
  2  754 420.00  0.00 800.00 260.00  0
  3  753 420.00  0.00 800.00 156.00  0
  4  645 360.00  0.00 800.00 156.00  0
  5  698 390.00  0.00 800.00 104.00  1
  6  663 370.00  0.00 800.00 156.00  0
  7  698 410.00  0.00 800.00 52.00  1
  8  698 380.00  0.00 800.00 156.00  1
  9  663 370.00  0.00 800.00 156.00  1
 10  554 310.00  0.00 800.00 104.00  1
 11  645 360.00  0.00 800.00 156.00  1
 12  843 470.00  0.00 800.00 156.00  0
 13  627 350.00  0.00 800.00 156.00  1
 14  807 450.00  0.00 800.00 156.00  0
 15  627 360.00  0.00 800.00 260.00  0
 16  627 340.00  0.00 800.00 104.00  1
 17  627 350.00  0.00 800.00 260.00  0
 18  627 340.00  0.00 800.00 260.00  0
 19  627 330.00  0.00 800.00 104.00  1
