Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5682  1.6545    -5.6529 -0.1454
      1  -2.3547  1.6604    -6.9601 -1.3337
      2  -2.8193  1.7844    -7.6829 -1.7968
      3  -4.0584  2.2216    -8.7261 -2.1634
      4  -5.8948  2.0281    -9.1273 -2.9071
      5  -4.5899  1.4414    -7.2791 -2.6538
      6  -3.8553  1.1571    -5.9254 -2.4215
      7  -3.4417  1.0452    -5.0463 -2.2256
      8  -3.1027  1.1023    -4.7906 -1.9298
      9  -2.8286  1.1827    -4.9022 -1.6436
     10  -2.6030  1.2606    -5.1986 -1.3717
     11  -2.4885  1.0026    -3.6627 -1.4335
     12  -2.2653  1.3822    -5.3839 -0.8827
     13  -2.1237  1.1053    -3.4575 -0.9139
     14  -1.9279  1.5753    -5.8869 -0.4398
     15  -1.7383  1.2632    -3.5003 -0.4403
     16  -1.6311  1.0316    -2.9130 -0.4409
     17  -1.8159  0.9237    -2.9916 -0.7882
     18  -1.9816  0.8420    -3.0825 -1.0943
     19  -2.0546  0.7302    -3.0887 -1.3151

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0931  0.0622     0.0001  0.1887
      1   0.0881  0.0632     0.0001  0.1879
      2   0.0829  0.0634     0.0001  0.1868
      3   0.0457  0.0521     0.0001  0.1636
      4   0.0133  0.0100     0.0001  0.0293
      5   0.0145  0.0110     0.0001  0.0326
      6   0.0162  0.0122     0.0001  0.0364
      7   0.0174  0.0131     0.0001  0.0393
      8   0.0158  0.0114     0.0001  0.0340
      9   0.0141  0.0100     0.0000  0.0298
     10   0.0130  0.0092     0.0000  0.0269
     11   0.0137  0.0089     0.0001  0.0272
     12   0.0093  0.0060     0.0000  0.0178
     13   0.0099  0.0057     0.0001  0.0181
     14   0.0069  0.0038     0.0000  0.0115
     15   0.0075  0.0035     0.0001  0.0118
     16   0.0078  0.0032     0.0002  0.0119
     17   0.0081  0.0034     0.0002  0.0125
     18   0.0084  0.0036     0.0003  0.0129
     19   0.0088  0.0038     0.0004  0.0132

