trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1041 580.00  0.00 800.00 156.00  0
  1  676 380.00  0.00 800.00 17.20  1
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  751 420.00  0.00 800.00 52.00  1
  5  626 350.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 104.00  0
  7  751 430.00  0.00 800.00 26.00  1
  8  751 410.00  0.00 800.00 26.00  1
  9  751 400.00  0.00 800.00 104.00  0
 10  751 410.00  0.00 800.00 26.00  1
 11  751 430.00  0.00 800.00 26.00  1
 12  751 430.00  0.00 800.00 104.00  0
 13  751 420.00  0.00 800.00 26.00  1
 14  751 400.00  0.00 800.00 26.00  1
 15  751 410.00  0.00 800.00 104.00  0
 16  751 430.00  0.00 800.00 104.00  0
 17  751 420.00  0.00 800.00 26.00  1
 18  751 420.00  0.00 800.00 26.00  1
 19  751 420.00  0.00 800.00 104.00  0
