trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1075 600.00  0.00 800.00 52.00  0
  1  693 390.00  0.00 800.00 12.90  1
  2  679 380.00  0.00 800.00 52.00  1
  3  608 340.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  0
  5  643 360.00  0.00 800.00 52.00  1
  6  769 420.00  0.00 800.00 26.00  1
  7  769 420.00  0.00 800.00 104.00  0
  8  769 420.00  0.00 800.00 26.00  1
  9  769 430.00  0.00 800.00 26.00  1
 10  769 430.00  0.00 800.00 26.00  1
 11  769 410.00  0.00 800.00 104.00  1
 12  842 470.00  0.00 800.00 104.00  1
 13    2  10.00  0.00 800.00  1.00  1
 14    2  10.00  0.00 800.00  2.00  1
 15  879 490.00  0.00 800.00 156.00  1
 16    3  10.00  0.00 800.00  2.00  1
 17  880 490.00  0.00 800.00 260.00  0
 18  826 460.00  0.00 800.00 260.00  0
 19  879 490.00  0.00 800.00 156.00  0
