Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4612  2.7870    -8.9814 -0.3604
      1  -4.3574  2.8215    -8.9677 -0.2979
      2  -4.1895  2.8683    -8.9438 -0.2341
      3  -3.9518  2.9163    -8.9056 -0.1830
      4  -3.6814  2.9458    -8.8547 -0.1481
      5  -5.2396  2.6495    -9.1009 -0.6202
      6  -5.4790  2.5783    -9.1289 -0.7033
      7  -5.7012  2.4900    -9.1513 -0.8114
      8  -5.8731  2.4048    -9.1667 -0.9422
      9  -6.8581  1.9144    -7.3122 -2.8922
     10  -5.7016  1.9493    -8.7775 -1.5651
     11  -5.8253  1.7954    -8.7351 -2.1881
     12  -5.2613  1.6358    -7.7012 -1.7187
     13  -5.4342  1.3699    -7.5784 -3.1808
     14  -5.9178  1.1951    -7.9419 -4.3067
     15  -5.6165  1.0453    -7.1593 -4.1824
     16  -5.9051  0.9502    -7.3638 -4.7834
     17  -5.6920  0.8568    -6.9275 -4.6488
     18  -5.8705  0.7846    -7.0424 -5.0206
     19  -5.7392  0.7109    -6.7838 -4.9333

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0007  0.0022     0.0000  0.0027
      1   0.0011  0.0028     0.0000  0.0049
      2   0.0019  0.0035     0.0000  0.0061
      3   0.0029  0.0040     0.0000  0.0067
      4   0.0041  0.0043     0.0000  0.0072
      5   0.0029  0.0035     0.0000  0.0063
      6   0.0041  0.0036     0.0000  0.0065
      7   0.0051  0.0033     0.0000  0.0067
      8   0.0059  0.0029     0.0000  0.0067
      9   0.0062  0.0027     0.0000  0.0068
     10   0.0055  0.0031     0.0000  0.0067
     11   0.0062  0.0026     0.0000  0.0067
     12   0.0063  0.0025     0.0000  0.0068
     13   0.0067  0.0021     0.0001  0.0068
     14   0.0068  0.0021     0.0001  0.0068
     15   0.0069  0.0021     0.0001  0.0069
     16   0.0070  0.0021     0.0001  0.0069
     17   0.0071  0.0021     0.0002  0.0070
     18   0.0072  0.0022     0.0002  0.0080
     19   0.0073  0.0022     0.0003  0.0090

