trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1023 570.00  0.00 800.00 156.00  0
  1  694 390.00  0.00 800.00 17.20  0
  2  742 420.00  0.00 800.00  3.00  1
  3  744 420.00  0.00 800.00  6.44  1
  4  745 420.00  0.00 800.00  8.60  1
  5  693 390.00  0.00 800.00 12.90  1
  6  694 390.00  0.00 800.00 17.20  1
  7  696 390.00  0.00 800.00 26.00  0
  8  676 380.00  0.00 800.00 17.20  1
  9  678 380.00  0.00 800.00 26.00  0
 10  676 370.00  0.00 800.00 21.50  0
 11  676 370.00  0.00 800.00 21.50  0
 12  676 390.00  0.00 800.00 21.50  0
 13  676 380.00  0.00 800.00 21.50  0
 14  676 380.00  0.00 800.00 21.50  0
 15  783 440.00  0.00 800.00 12.90  1
 16  676 400.00  0.00 800.00 12.90  0
 17  694 390.00  0.00 800.00 17.20  0
 18  674 380.00  0.00 800.00 10.80  1
 19  621 350.00  0.00 800.00 12.90  1
