Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9470  1.3358    -4.1380 -6.3105
      1  -7.3175  1.2401    -8.5144 -5.3084
      2  -6.9800  1.2433    -7.9066 -4.5280
      3  -6.6849  1.3526    -7.6267 -3.4977
      4  -5.8895  1.8376    -7.7896 -1.5163
      5  -4.9514  2.1041    -8.0844 -0.8287
      6  -5.0560  1.9353    -7.5231 -1.0065
      7  -3.8757  2.2119    -7.9629 -0.4706
      8  -3.7726  2.0778    -7.2250 -0.4844
      9  -2.7378  2.1078    -7.3426 -0.2611
     10  -2.4986  1.8921    -6.2607 -0.2464
     11  -1.8089  1.6999    -5.5447 -0.1621
     12  -1.6382  1.4602    -4.3858 -0.1557
     13  -2.2516  1.4442    -4.9988 -0.4670
     14  -1.7802  1.3308    -3.9889 -0.3114
     15  -2.1268  1.2517    -4.2353 -0.7006
     16  -2.0433  1.0778    -3.7695 -0.7106
     17  -2.3817  1.0310    -4.1213 -1.1871
     18  -2.1068  0.9309    -3.4382 -1.0411
     19  -1.8819  0.8893    -3.0647 -0.8559

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0976  0.0612     0.0001  0.1894
      1   0.0927  0.0628     0.0001  0.1888
      2   0.0896  0.0637     0.0001  0.1884
      3   0.0771  0.0633     0.0000  0.1852
      4   0.0223  0.0273     0.0000  0.0754
      5   0.0069  0.0073     0.0000  0.0182
      6   0.0083  0.0073     0.0000  0.0194
      7   0.0048  0.0037     0.0000  0.0068
      8   0.0058  0.0033     0.0000  0.0069
      9   0.0054  0.0031     0.0000  0.0066
     10   0.0061  0.0026     0.0000  0.0067
     11   0.0062  0.0025     0.0000  0.0067
     12   0.0066  0.0020     0.0001  0.0067
     13   0.0065  0.0021     0.0001  0.0067
     14   0.0066  0.0020     0.0001  0.0067
     15   0.0066  0.0021     0.0001  0.0068
     16   0.0069  0.0017     0.0002  0.0068
     17   0.0069  0.0017     0.0002  0.0068
     18   0.0069  0.0017     0.0002  0.0068
     19   0.0069  0.0017     0.0002  0.0068

