trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  966 540.00  0.00 800.00 26.00  1
  1  881 490.00  0.00 800.00 520.00  1
  2 1169 650.00  0.00 800.00 520.00  0
  3 1043 580.00  0.00 800.00 520.00  0
  4  971 540.00  0.00 800.00 520.00  0
  5  863 480.00  0.00 800.00 520.00  0
  6  719 400.00  0.00 800.00 520.00  0
  7  735 410.00  0.00 800.00 156.00  0
  8    0  10.00  0.00 800.00  0.43  1
  9    0  10.00  0.00 800.00  0.71  1
 10  662 370.00  0.00 800.00 104.00  0
 11  570 320.00  0.00 800.00 26.00  0
 12 1421 790.00  0.00 800.00 520.00  0
 13  657 370.00  0.00 800.00 12.90  0
 14 1421 770.00  0.00 800.00 260.00  0
 15  708 400.00  0.00 800.00  6.44  0
 16 1421 780.00  0.00 800.00 260.00  0
 17  761 430.00  0.00 800.00  4.30  0
 18  778 440.00  0.00 800.00  3.00  0
 19  742 420.00  0.00 800.00  3.00  0
