Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4763  2.6646    -8.7939 -0.4686
      1  -2.2954  1.4530    -4.5763 -0.2485
      2  -1.1454  0.9169    -2.3409 -0.1305
      3  -1.7904  0.6924    -2.5144 -1.3289
      4  -2.0677  0.6326    -2.6823 -1.7368
      5  -2.2440  0.6451    -3.0441 -1.9881
      6  -2.7034  1.0510    -4.8060 -2.1207
      7  -2.4306  0.7415    -3.2679 -2.1154
      8  -2.5068  0.6797    -3.3556 -2.1849
      9  -2.4089  0.5071    -2.8492 -2.1778
     10  -2.4232  0.4123    -2.8403 -2.3233
     11  -2.3966  0.2968    -2.7589 -2.3293
     12  -2.3754  0.2243    -2.6339 -2.3215
     13  -2.3241  0.4318    -2.6354 -2.1345
     14  -2.4448  0.6798    -2.8901 -2.1568
     15  -2.3972  0.5144    -2.8078 -2.1640
     16  -2.3969  0.4018    -2.7899 -2.2192
     17  -2.3746  0.3099    -2.6791 -2.2193
     18  -2.3362  0.5794    -2.7345 -2.1150
     19  -2.3110  0.8790    -2.8633 -1.8689

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1025  0.0585     0.0072  0.1900
      1   0.1019  0.0587     0.0069  0.1899
      2   0.1019  0.0586     0.0072  0.1898
      3   0.1009  0.0591     0.0058  0.1897
      4   0.1002  0.0592     0.0054  0.1896
      5   0.0987  0.0602     0.0044  0.1896
      6   0.0420  0.0390     0.0001  0.1202
      7   0.0526  0.0405     0.0013  0.1310
      8   0.0558  0.0425     0.0019  0.1385
      9   0.0643  0.0428     0.0054  0.1458
     10   0.0709  0.0437     0.0081  0.1525
     11   0.0734  0.0429     0.0121  0.1537
     12   0.0791  0.0425     0.0165  0.1577
     13   0.0448  0.0256     0.0069  0.0888
     14   0.0319  0.0199     0.0012  0.0656
     15   0.0341  0.0196     0.0034  0.0671
     16   0.0366  0.0195     0.0062  0.0689
     17   0.0388  0.0194     0.0082  0.0711
     18   0.0249  0.0131     0.0020  0.0455
     19   0.0180  0.0104     0.0001  0.0335

