Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -8.0771  1.4124    -3.4834 -5.6832
      1  -7.6424  1.3393    -8.8736 -5.0983
      2  -7.2621  1.4346    -8.3813 -3.8177
      3  -6.4647  1.9916    -8.3848 -1.5921
      4  -5.2650  2.3507    -8.4962 -0.7749
      5  -5.4700  2.1982    -8.2548 -0.9502
      6  -3.9147  2.4559    -8.4647 -0.4114
      7  -3.7520  2.3407    -8.0805 -0.4070
      8  -3.6214  2.2315    -7.5841 -0.4067
      9  -4.6466  1.8728    -7.7679 -1.2956
     10  -4.6637  1.7532    -7.4913 -1.5600
     11  -3.8247  1.6348    -6.7082 -1.0610
     12  -4.3133  1.3670    -6.7561 -2.2871
     13  -4.3026  1.2569    -6.5360 -2.4942
     14  -3.8830  1.1090    -5.6672 -2.2311
     15  -4.2416  0.9863    -5.9147 -2.9624
     16  -4.0009  0.8835    -5.3608 -2.8288
     17  -4.1250  0.7668    -5.3914 -3.1760
     18  -3.8882  0.7420    -5.0213 -2.9605
     19  -3.6861  0.7305    -4.7390 -2.7650

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0957  0.0619     0.0001  0.1892
      1   0.0920  0.0626     0.0001  0.1885
      2   0.0850  0.0637     0.0000  0.1871
      3   0.0367  0.0443     0.0000  0.1317
      4   0.0070  0.0091     0.0000  0.0220
      5   0.0089  0.0094     0.0000  0.0246
      6   0.0037  0.0037     0.0000  0.0065
      7   0.0048  0.0035     0.0000  0.0067
      8   0.0057  0.0031     0.0000  0.0068
      9   0.0058  0.0032     0.0000  0.0068
     10   0.0064  0.0027     0.0000  0.0069
     11   0.0063  0.0026     0.0000  0.0068
     12   0.0065  0.0025     0.0000  0.0068
     13   0.0068  0.0021     0.0001  0.0069
     14   0.0069  0.0021     0.0001  0.0069
     15   0.0070  0.0021     0.0001  0.0070
     16   0.0071  0.0022     0.0002  0.0075
     17   0.0073  0.0021     0.0003  0.0087
     18   0.0073  0.0021     0.0003  0.0084
     19   0.0072  0.0021     0.0003  0.0080

