Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6133  2.7295    -9.0004 -0.4863
      1  -2.1753  1.3949    -4.3363 -0.2373
      2  -3.2020  0.8604    -4.4323 -2.1843
      3  -3.7210  0.6306    -4.4780 -3.1763
      4  -4.1355  0.5912    -4.7513 -3.7825
      5  -4.3318  0.6462    -5.1926 -4.0653
      6  -4.2148  0.3590    -4.5219 -4.0599
      7  -4.2339  0.2827    -4.5027 -4.2217
      8  -4.2335  0.2282    -4.4787 -4.2236
      9  -4.2328  0.1931    -4.4780 -4.2247
     10  -4.2231  0.1169    -4.4750 -4.2248
     11  -4.2231  0.0991    -4.4747 -4.2253
     12  -4.2231  0.0881    -4.4745 -4.2256
     13  -4.3178  0.2248    -4.7325 -4.2317
     14  -4.3013  0.1694    -4.7160 -4.2313
     15  -4.2416  0.1180    -4.6204 -4.2270
     16  -4.2363  0.0978    -4.5920 -4.2270
     17  -4.2328  0.0852    -4.5660 -4.2269
     18  -4.2333  0.0802    -4.5650 -4.2276
     19  -4.2337  0.0769    -4.5640 -4.2281

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0072  0.1899
      1   0.1021  0.0586     0.0073  0.1899
      2   0.1020  0.0587     0.0069  0.1899
      3   0.1021  0.0585     0.0073  0.1898
      4   0.0993  0.0595     0.0049  0.1895
      5   0.0982  0.0608     0.0037  0.1897
      6   0.1118  0.0567     0.0118  0.1915
      7   0.1200  0.0536     0.0197  0.1925
      8   0.1216  0.0524     0.0243  0.1926
      9   0.1228  0.0515     0.0277  0.1927
     10   0.1243  0.0502     0.0325  0.1928
     11   0.1249  0.0498     0.0342  0.1928
     12   0.1253  0.0495     0.0352  0.1929
     13   0.0671  0.0393     0.0127  0.1415
     14   0.0691  0.0388     0.0157  0.1427
     15   0.0772  0.0406     0.0190  0.1529
     16   0.0786  0.0402     0.0213  0.1537
     17   0.0798  0.0399     0.0228  0.1543
     18   0.0804  0.0397     0.0237  0.1546
     19   0.0810  0.0395     0.0246  0.1550

