Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4150  2.2856    -7.4924 -0.0548
      1  -2.0563  2.3820    -7.9786 -0.3327
      2  -2.8470  2.4609    -8.3980 -0.6010
      3  -2.3550  2.1304    -7.7850 -0.6169
      4  -1.9861  1.7603    -6.6064 -0.6280
      5  -2.7059  1.8896    -7.5116 -0.9290
      6  -2.4484  1.5801    -6.2379 -0.9841
      7  -3.2923  1.7777    -7.5273 -1.3177
      8  -3.1176  1.5351    -6.5317 -1.4209
      9  -3.9720  1.7059    -7.6482 -1.7622
     10  -3.9115  1.5520    -7.1592 -1.9836
     11  -4.8870  1.7639    -8.2474 -2.1573
     12  -4.9175  1.6357    -8.0720 -2.5536
     13  -5.6978  1.6144    -8.5982 -3.1277
     14  -5.2183  1.3384    -7.4493 -3.1282
     15  -5.6235  1.2541    -7.7286 -3.8344
     16  -5.6695  1.1224    -7.6105 -4.1765
     17  -5.2911  0.9962    -6.8387 -3.9205
     18  -4.9502  0.9720    -6.3913 -3.5644
     19  -4.6008  1.0207    -6.0477 -3.1477

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0690  0.0656     0.0000  0.1842
      1   0.0389  0.0492     0.0000  0.1480
      2   0.0137  0.0203     0.0000  0.0520
      3   0.0174  0.0215     0.0000  0.0575
      4   0.0202  0.0219     0.0000  0.0610
      5   0.0100  0.0095     0.0000  0.0254
      6   0.0113  0.0094     0.0000  0.0264
      7   0.0068  0.0048     0.0000  0.0127
      8   0.0076  0.0045     0.0000  0.0130
      9   0.0060  0.0034     0.0000  0.0070
     10   0.0066  0.0029     0.0000  0.0077
     11   0.0058  0.0029     0.0000  0.0067
     12   0.0064  0.0024     0.0000  0.0067
     13   0.0063  0.0025     0.0000  0.0067
     14   0.0064  0.0023     0.0000  0.0067
     15   0.0065  0.0023     0.0001  0.0068
     16   0.0068  0.0019     0.0001  0.0068
     17   0.0068  0.0019     0.0001  0.0068
     18   0.0067  0.0019     0.0001  0.0068
     19   0.0065  0.0019     0.0001  0.0067

