Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6267  2.7230    -9.0019 -0.5064
      1  -7.1734  1.3383    -7.4476 -5.3949
      2  -6.1608  0.8505    -7.3434 -5.2992
      3  -5.6192  0.6454    -6.3397 -5.1586
      4  -5.9138  0.5174    -6.5031 -5.6475
      5  -6.0663  0.4912    -6.5800 -5.8775
      6  -6.0205  0.3615    -6.3168 -5.8760
      7  -5.8204  0.6522    -6.3142 -5.5494
      8  -5.7519  0.5879    -6.2628 -5.5332
      9  -5.7931  0.4312    -6.2550 -5.6813
     10  -5.8103  0.3197    -6.2495 -5.7758
     11  -5.8204  0.2429    -6.2462 -5.7971
     12  -5.8254  0.1911    -6.2439 -5.7998
     13  -5.8276  0.1580    -6.2422 -5.8012
     14  -5.8288  0.1377    -6.2410 -5.8021
     15  -5.8298  0.1252    -6.2399 -5.8032
     16  -5.8306  0.1174    -6.2391 -5.8042
     17  -5.8309  0.1130    -6.2383 -5.8047
     18  -5.8309  0.1104    -6.2376 -5.8050
     19  -5.8314  0.1079    -6.2371 -5.8057

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0073  0.1899
      1   0.1017  0.0588     0.0067  0.1898
      2   0.1009  0.0592     0.0057  0.1898
      3   0.1011  0.0591     0.0056  0.1898
      4   0.1017  0.0585     0.0070  0.1897
      5   0.1009  0.0584     0.0072  0.1895
      6   0.1122  0.0555     0.0149  0.1913
      7   0.0611  0.0432     0.0013  0.1428
      8   0.0650  0.0446     0.0025  0.1494
      9   0.0694  0.0437     0.0076  0.1518
     10   0.0715  0.0430     0.0111  0.1529
     11   0.0734  0.0424     0.0143  0.1540
     12   0.0747  0.0420     0.0161  0.1547
     13   0.0755  0.0418     0.0173  0.1551
     14   0.0761  0.0416     0.0184  0.1554
     15   0.0768  0.0414     0.0196  0.1558
     16   0.0776  0.0412     0.0208  0.1562
     17   0.0781  0.0411     0.0214  0.1564
     18   0.0784  0.0410     0.0219  0.1566
     19   0.0792  0.0408     0.0226  0.1570

