Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.9051  2.4501    -8.3294 -0.3998
      1  -5.9304  1.5236    -8.8631 -4.0556
      2  -4.8289  0.8058    -5.9949 -3.9736
      3  -4.3151  0.6088    -5.0183 -3.8111
      4  -4.6122  0.4814    -5.1760 -4.3253
      5  -4.7650  0.4394    -5.2482 -4.5684
      6  -4.9867  0.7329    -5.9074 -4.6463
      7  -5.0809  0.6719    -5.9860 -4.7946
      8  -5.3617  1.0125    -7.2332 -4.7670
      9  -5.2158  0.7423    -6.1305 -4.8484
     10  -5.1488  0.5791    -5.7685 -4.8862
     11  -5.0637  0.5304    -5.5808 -4.8339
     12  -4.9455  0.8254    -5.6880 -4.4037
     13  -4.9761  0.6305    -5.5387 -4.7020
     14  -4.9615  0.4945    -5.4780 -4.7478
     15  -4.9904  0.3942    -5.4744 -4.7858
     16  -4.9702  0.3201    -5.4061 -4.7845
     17  -4.9973  0.2641    -5.4192 -4.8340
     18  -5.0671  0.4718    -5.5280 -4.8531
     19  -5.0516  0.3754    -5.5064 -4.8633

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0067  0.1898
      1   0.1025  0.0584     0.0069  0.1898
      2   0.1034  0.0582     0.0072  0.1900
      3   0.1015  0.0585     0.0067  0.1897
      4   0.1026  0.0578     0.0086  0.1898
      5   0.1021  0.0574     0.0093  0.1895
      6   0.0550  0.0433     0.0001  0.1402
      7   0.0589  0.0454     0.0011  0.1484
      8   0.0253  0.0206     0.0001  0.0617
      9   0.0298  0.0211     0.0001  0.0667
     10   0.0336  0.0216     0.0016  0.0710
     11   0.0366  0.0231     0.0025  0.0770
     12   0.0240  0.0162     0.0001  0.0508
     13   0.0259  0.0158     0.0004  0.0522
     14   0.0279  0.0157     0.0024  0.0538
     15   0.0299  0.0158     0.0047  0.0558
     16   0.0319  0.0160     0.0072  0.0584
     17   0.0340  0.0164     0.0082  0.0609
     18   0.0232  0.0114     0.0023  0.0403
     19   0.0245  0.0112     0.0042  0.0412

